學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,4,3,1,3,1,0,0,0,0,0,0,0,0,4,3,1,4,3,1
106,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,9,8,1,7,0,1,0,0,1,0,0,0,0,9,8,1,9,8,1
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,6,5,1,5,1,0,0,0,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,9,9,0,8,0,1,0,0,0,0,0,0,0,9,9,0,9,9,0
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,5,5,0,4,0,1,0,0,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,4,4,0,2,0,1,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,2,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0
