年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「學術研究」計畫經費-小計,學校承接「學術研究」計畫經費-政府部門資助,學校承接「學術研究」計畫經費-企業部門資助,學校承接「學術研究」計畫經費-其他單位資助,學校承接「學術研究」計畫經費-學校自籌經費,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,專任教師每師平均-承接學校自籌補助學術研究計畫經費
106,公立,技專校院,0051,國立臺北商業大學,208,18282350,18282350,0,0,0,87895.91,0
106,公立,一般大學,0052,國立屏東大學,339,42783589,40989589,0,0,1794000,120913.24,5292.04
106,公立,技專校院,0221,國立臺南護理專科學校,85,3070000,3070000,0,0,0,36117.65,0
106,公立,技專校院,0222,國立臺東專科學校,64,1988500,1988500,0,0,0,31070.31,0
106,私立,一般大學,1001,東海大學,533,226427925,181915425,100000,1970000,42442500,345188.41,79629.46
106,私立,一般大學,1002,輔仁大學,698,193063033,191801283,0,0,1261750,274786.94,1807.66
106,私立,一般大學,1003,東吳大學,435,67176905,64927128,0,0,2249777,149257.77,5171.90
106,私立,一般大學,1004,中原大學,482,362436584,359783569,0,0,2653015,746438.94,5504.18
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,759,226028091,216678091,0,0,9350000,285478.38,12318.84
106,私立,一般大學,1006,中國文化大學,746,71538812,71538812,0,0,0,95896.53,0
106,私立,一般大學,1007,逢甲大學,649,303237300,295682800,150000,1220000,6184500,457708.47,9529.28
106,私立,一般大學,1008,靜宜大學,368,67256750,65829000,0,0,1427750,178883.15,3879.76
106,私立,一般大學,1009,長庚大學,596,985319661,340976953,0,502354208,141988500,1414985.17,238235.74
106,私立,一般大學,1010,元智大學,309,147490500,147490500,0,0,0,477315.53,0
106,私立,一般大學,1011,中華大學學校財團法人中華大學,255,29437531,28547518,0,741520,148493,114858.97,582.33
106,私立,一般大學,1012,大葉大學,336,51405936,43822976,0,0,7582960,130425.52,22568.33
106,私立,一般大學,1013,華梵大學,109,11766500,11113000,0,0,653500,101954.13,5995.41
106,私立,一般大學,1014,義守大學,488,130559857,126137260,0,1800000,2622597,262166.52,5374.17
106,私立,一般大學,1015,世新大學,326,31838470,31838470,0,0,0,97664.02,0
106,私立,一般大學,1016,銘傳大學,591,80318560,75749520,1916200,927840,1725000,132984.03,2918.78
106,私立,一般大學,1017,實踐大學,399,24338307,20451197,0,0,3887110,51256.13,9742.13
106,私立,技專校院,1018,朝陽科技大學,400,50421092,49071092,0,0,1350000,122677.73,3375
106,私立,一般大學,1019,高雄醫學大學,557,470210506,407402367,0,27062845,35745294,780009.36,64174.68
106,私立,一般大學,1020,南華大學,217,16102850,15352850,0,0,750000,70750.46,3456.22
106,私立,一般大學,1021,真理大學,280,10788000,10788000,0,0,0,38528.57,0
106,私立,一般大學,1022,大同大學,165,43900964,43503964,0,0,397000,263660.39,2406.06
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,578,101643773,98243773,0,0,3400000,169971.93,5882.35
106,私立,技專校院,1024,崑山科技大學,359,51772806,49822806,0,0,1950000,138782.19,5431.75
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,478,26951240,26679450,271790,0,0,56383.35,0
106,私立,技專校院,1026,樹德科技大學,281,13838000,13838000,0,0,0,49245.55,0
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,251,103136025,58115353,0,40401797,4618875,392498.61,18401.89
106,私立,一般大學,1028,臺北醫學大學,620,801510228,667140228,0,60994000,73376000,1174410.05,118348.39
106,私立,一般大學,1029,中山醫學大學,399,336946843,208583660,98213183,13000000,17150000,801495.85,42982.46
106,私立,技專校院,1030,龍華科技大學,242,14312000,14312000,0,0,0,59140.50,0
106,私立,技專校院,1031,輔英科技大學,331,16900430,16119450,780980,0,0,51058.70,0
106,私立,技專校院,1032,明新學校財團法人明新科技大學,372,16409000,15609000,0,0,800000,41959.68,2150.54
106,私立,一般大學,1033,長榮大學,350,37419894,33902472,548000,2440000,529422,105401.35,1512.63
106,私立,技專校院,1034,弘光科技大學,322,29061500,27049000,0,0,2012500,84003.11,6250
106,私立,一般大學,1035,中國醫藥大學,484,372092352,346698179,0,0,25394173,716318.55,52467.30
106,私立,技專校院,1036,健行學校財團法人健行科技大學,299,15408081,15408081,0,0,0,51532.04,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,437,24093763,24093763,0,0,0,55134.47,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,248,5113000,5113000,0,0,0,20616.94,0
106,私立,一般大學,1039,玄奘大學,143,22419372,22278000,141372,0,0,156778.83,0
106,私立,技專校院,1040,建國科技大學,263,4868930,4868930,0,0,0,18513.04,0
106,私立,技專校院,1041,明志科技大學,196,63998950,61039700,0,0,2959250,311427.04,15098.21
106,私立,技專校院,1042,高苑科技大學,264,42544692,42544692,0,0,0,161154.14,0
106,私立,技專校院,1043,大仁科技大學,250,14968750,14413750,0,0,555000,57655,2220
106,私立,技專校院,1044,聖約翰科技大學,187,17780657,15780657,0,0,2000000,84388.54,10695.19
106,私立,技專校院,1045,嶺東科技大學,264,10993896,10993896,0,0,0,41643.55,0
106,私立,技專校院,1046,中國科技大學,305,6390000,6390000,0,0,0,20950.82,0
106,私立,技專校院,1047,中臺科技大學,275,16736000,16191000,0,0,545000,58876.36,1981.82
106,私立,一般大學,1048,亞洲大學,400,107119000,97751800,0,8167200,1200000,264797.50,3000
106,私立,一般大學,1049,開南大學,258,15431000,15431000,0,0,0,59810.08,0
106,私立,一般大學,1050,佛光大學,176,39191215,27023000,0,12168215,0,222677.36,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,333,6770000,6770000,0,0,0,20330.33,0
106,私立,技專校院,1052,遠東科技大學,232,37259375,34465875,0,0,2793500,148559.81,12040.95
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,220,12855000,12240000,0,0,615000,55636.36,2795.45
106,私立,技專校院,1054,景文科技大學,201,8492225,8492225,0,0,0,42249.88,0
106,私立,技專校院,1055,中華醫事科技大學,299,8999000,8999000,0,0,0,30096.99,0
106,私立,技專校院,1056,東南科技大學,210,5601000,5601000,0,0,0,26671.43,0
106,私立,技專校院,1057,德明財經科技大學,236,6785000,6785000,0,0,0,28750,0
106,私立,一般大學,1058,明道學校財團法人明道大學,130,9196800,9196800,0,0,0,70744.62,0
106,私立,技專校院,1060,南開科技大學,195,9802000,9802000,0,0,0,50266.67,0
106,私立,技專校院,1061,中華學校財團法人中華科技大學,231,6968334,6882000,0,0,86334,29792.21,373.74
106,私立,技專校院,1062,僑光科技大學,227,3052699,3052699,0,0,0,13448.01,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,129,2860485,2860485,0,0,0,22174.30,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,231,7804700,7305500,480000,0,19200,33703.46,83.12
106,私立,技專校院,1065,吳鳳科技大學,163,2857000,2857000,0,0,0,17527.61,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,181,2006000,2006000,0,0,0,11082.87,0
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,105,1258000,1258000,0,0,0,11980.95,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,123,4776000,4776000,0,0,0,38829.27,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,203,9675808,9555508,0,0,120300,47071.47,592.61
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,348,53296624,53296624,0,0,0,153151.22,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,248,1001000,1001000,0,0,0,4036.29,0
