學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),3,2,1
105,1,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),8,4,4
105,1,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),30,11,19
105,1,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,碩士班(日間),4,4,0
105,1,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),5,3,2
105,1,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),3,1,2
105,1,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,博士班,2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),4,2,2
105,1,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),9,8,1
105,1,公立,一般大學,0003,國立臺灣大學,05311051,化學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),4,3,1
105,1,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,碩士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,碩士班(日間),5,2,3
105,1,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,博士班,2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,05331055,應用物理學研究所,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),8,2,6
105,1,公立,一般大學,0003,國立臺灣大學,05411059,數學系,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,05421060,統計碩士學位學程,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),9,7,2
105,1,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,博士班,1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),10,10,0
105,1,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,碩士班(日間),5,5,0
105,1,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,博士班,2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),5,4,1
105,1,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,博士班,3,2,1
