學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,博士班,法國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,4,2,2
105,2,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,碩士班(日間),日本,其他亞洲地區,1,1,0,1,1,0
105,2,公立,一般大學,0008,國立中央大學,07399028,營建管理研究所,碩士班(日間),印度尼西亞共和國,東協,0,0,0,2,0,2
105,2,公立,一般大學,0009,國立中山大學,04121024,財務管理學系,碩士班(日間),法國,歐洲,2,1,1,0,0,0
105,2,公立,一般大學,0009,國立中山大學,04131021,企業管理學系企業管理碩士班,碩士班(日間),法國,歐洲,3,1,2,0,0,0
105,2,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,碩士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,碩士班(日間),法國,歐洲,1,0,1,7,4,3
105,2,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,碩士班(日間),奧地利共和國,歐洲,7,3,4,22,13,9
105,2,公立,一般大學,0009,國立中山大學,04141025,行銷傳播管理研究所,碩士班(日間),法國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0009,國立中山大學,04199028,人力資源管理全英語碩士學位學程,碩士班(日間),英國,歐洲,5,2,3,5,2,3
105,2,公立,一般大學,0009,國立中山大學,06131052,資訊管理學系,碩士班(日間),奧地利共和國,歐洲,9,6,3,0,0,0
105,2,公立,一般大學,0009,國立中山大學,07141053,電機工程學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,1,1,0
105,2,公立,一般大學,0009,國立中山大學,07141057,通訊工程研究所,碩士班(日間),印度尼西亞共和國,東協,0,0,0,4,3,1
105,2,公立,一般大學,0012,國立臺灣海洋大學,05121018,海洋生物科技博士學位學程,博士班,日本,其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0012,國立臺灣海洋大學,05323017,海洋生物研究所,博士班,日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,一般大學,0012,國立臺灣海洋大學,05323017,海洋生物研究所,博士班,丹麥王國,歐洲,0,0,0,2,2,0
105,2,公立,一般大學,0012,國立臺灣海洋大學,08311045,環境生物與漁業科學學系,博士班,日本,其他亞洲地區,2,0,2,0,0,0
105,2,公立,一般大學,0013,國立中正大學,03111017,經濟學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
