學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,參與競賽獲獎人次,學生論文出版及展演活動篇數(場數),學生論文出版及展演活動人次,在學學生出席國際會議人次
106,公立,一般大學,0032,國立聯合大學,學士班(日間),209,60,218,19
106,公立,一般大學,0032,國立聯合大學,學士班(進修),1,0,0,0
106,公立,一般大學,0032,國立聯合大學,碩士班(日間),20,77,78,46
106,公立,一般大學,0032,國立聯合大學,博士班,3,1,1,1
106,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),145,16,25,13
106,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),1,0,0,0
106,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),40,52,52,6
106,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),34,4,7,0
106,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),40,54,181,8
106,公立,一般大學,0035,國立臺南藝術大學,博士班,4,4,4,3
106,公立,一般大學,0036,國立臺南大學,學士班(日間),137,19,368,5
106,公立,一般大學,0036,國立臺南大學,碩士班(日間),36,87,155,84
106,公立,一般大學,0036,國立臺南大學,碩士在職專班,2,4,4,47
106,公立,一般大學,0036,國立臺南大學,博士班,0,22,22,43
106,公立,一般大學,0037,國立臺北教育大學,學士班(日間),94,0,0,1
106,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),34,84,82,34
106,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,3,10,10,4
106,公立,一般大學,0037,國立臺北教育大學,博士班,0,37,18,0
106,公立,一般大學,0039,國立臺中教育大學,學士班(日間),210,13,31,61
106,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),11,93,99,94
106,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,1,70,88,113
106,公立,一般大學,0039,國立臺中教育大學,博士班,0,25,24,19
106,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),6,0,0,0
106,公立,技專校院,0043,國立勤益科技大學,學士班(日間),401,19,27,17
106,公立,技專校院,0043,國立勤益科技大學,學士班(進修),2,0,0,0
106,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),152,49,59,19
106,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,4,11,11,0
106,公立,技專校院,0043,國立勤益科技大學,博士班,2,0,0,0
106,公立,一般大學,0044,國立體育大學,學士班(日間),315,0,0,7
106,公立,一般大學,0044,國立體育大學,碩士班(日間),65,29,29,20
106,公立,一般大學,0044,國立體育大學,碩士在職專班,0,7,7,5
106,公立,一般大學,0044,國立體育大學,博士班,11,25,33,14
106,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),60,3,5,5
106,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),1,0,0,0
106,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),0,15,12,5
106,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,1,1,0,0
106,公立,技專校院,0046,國立臺北護理健康大學,博士班,0,49,49,70
106,公立,技專校院,0047,國立高雄餐旅大學,五專,6,0,0,0
106,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),49,0,0,0
106,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),14,18,17,0
106,公立,技專校院,0047,國立高雄餐旅大學,博士班,0,7,7,7
106,公立,一般大學,0048,國立金門大學,學士班(日間),34,1,1,5
106,公立,一般大學,0048,國立金門大學,碩士班(日間),0,3,3,3
106,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),476,0,0,0
106,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),3,0,0,0
106,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),32,7,7,3
106,公立,技專校院,0050,國立臺中科技大學,五專,28,0,0,0
106,公立,技專校院,0050,國立臺中科技大學,學士班(日間),189,21,53,0
106,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),14,18,17,15
106,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,0,7,7,6
106,公立,技專校院,0051,國立臺北商業大學,五專,80,0,0,0
106,公立,技專校院,0051,國立臺北商業大學,學士班(日間),226,0,0,0
106,公立,技專校院,0051,國立臺北商業大學,學士班(進修),1,0,0,0
106,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),5,4,5,5
106,公立,一般大學,0052,國立屏東大學,學士班(日間),273,57,303,133
106,公立,一般大學,0052,國立屏東大學,學士班(進修),1,0,0,0
106,公立,一般大學,0052,國立屏東大學,碩士班(日間),17,71,70,28
