,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,總計,男,女
,101,公立,一般大學,8,國立中央大學,520201,機械工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,520301,土木工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,521108,生物醫學工程研究所,碩士班(日間),1,1,0
,101,公立,一般大學,9,國立中山大學,140101,教育研究所,博士班,1,1,0
,101,公立,一般大學,9,國立中山大學,310201,政治學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,9,國立中山大學,310729,中國與亞太區域研究所,博士班,2,2,0
,101,公立,一般大學,9,國立中山大學,340301,企業管理學系,碩士班(日間),9,4,5
,101,公立,一般大學,9,國立中山大學,340301,企業管理學系,博士班,1,1,0
,101,公立,一般大學,9,國立中山大學,340504,財務管理學系,碩士班(日間),4,3,1
,101,公立,一般大學,9,國立中山大學,340504,財務管理學系,博士班,1,1,0
,101,公立,一般大學,9,國立中山大學,349919,人力資源管理研究所,碩士班(日間),1,1,0
,101,公立,一般大學,9,國立中山大學,440507,海洋地質及化學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,9,國立中山大學,520901,環境工程研究所,碩士班(日間),1,0,1
,101,公立,一般大學,9,國立中山大學,520901,環境工程研究所,博士班,1,1,0
,101,公立,一般大學,12,國立臺灣海洋大學,520114,資訊工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,13,國立中正大學,220201,中國文學系,碩士班(日間),1,0,1
,101,公立,一般大學,13,國立中正大學,220701,語言學研究所,博士班,1,1,0
,101,公立,一般大學,13,國立中正大學,220901,歷史學系,碩士班(日間),1,0,1
,101,公立,一般大學,13,國立中正大學,221101,哲學系,碩士班(日間),1,1,0
,101,公立,一般大學,13,國立中正大學,310101,經濟學系國際經濟學,碩士班(日間),1,0,1
,101,公立,一般大學,13,國立中正大學,380101,法律學系,碩士班(日間),2,2,0
,101,公立,一般大學,13,國立中正大學,440103,化學暨生物化學系,博士班,1,0,1
,101,公立,一般大學,13,國立中正大學,480109,資訊管理學系,碩士班(日間),1,0,1
,101,公立,一般大學,15,國立彰化師範大學,220201,國文學系,碩士班(日間),1,0,1
,101,公立,一般大學,15,國立彰化師範大學,310506,輔導與諮商學系,博士班,1,0,1
,101,公立,一般大學,16,國立陽明大學,521103,生醫光電研究所,碩士班(日間),1,1,0
,101,公立,一般大學,17,國立臺北大學,310802,公共行政暨政策學系,碩士班(日間),1,1,0
,101,公立,一般大學,17,國立臺北大學,340301,企業管理學系,碩士班(日間),1,1,0
,101,公立,一般大學,17,國立臺北大學,380101,法律學系一般生組,碩士班(日間),1,0,1
,101,公立,一般大學,20,國立東華大學,210709,藝術與設計系,碩士班(日間),1,1,0
,101,公立,一般大學,20,國立東華大學,220211,華文文學系碩士班（創作組、文學暨文化研究組）,碩士班(日間),1,0,1
,101,公立,一般大學,20,國立東華大學,340501,財務金融學系,碩士班(日間),1,0,1
,101,公立,一般大學,28,國立臺北藝術大學,210903,新媒體藝術學系,碩士班(日間),1,1,0
,101,公立,一般大學,28,國立臺北藝術大學,211001,藝術行政與管理研究所,碩士班(日間),2,0,2
,101,公立,一般大學,29,國立臺灣藝術大學,210902,多媒體動畫藝術學系動畫藝術碩士班,碩士班(日間),2,1,1
,101,公立,一般大學,31,國立宜蘭大學,520901,環境工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,36,國立臺南大學,140101,教育學系課程與教學碩士班,碩士班(日間),1,0,1
,101,公立,一般大學,39,國立臺中教育大學,140211,數學教育學系,碩士班(日間),1,1,0
,101,公立,一般大學,48,國立金門大學,220204,華語文學系,學士班(日間),1,0,1
,101,公立,一般大學,48,國立金門大學,220312,應用英語學系,學士班(日間),4,1,3
,101,公立,一般大學,48,國立金門大學,310901,國際暨大陸事務學系,學士班(日間),4,3,1
,101,公立,一般大學,48,國立金門大學,340301,企業管理學系,學士班(日間),3,2,1
,101,公立,一般大學,48,國立金門大學,520103,電子工程學系,學士班(日間),1,1,0
,101,公立,一般大學,48,國立金門大學,520325,土木與工程管理學系,學士班(日間),2,2,0
,101,公立,一般大學,48,國立金門大學,520601,工業工程與管理學系,學士班(日間),1,0,1
,101,公立,一般大學,48,國立金門大學,580101,建築學系,學士班(日間),7,5,2
,101,公立,一般大學,48,國立金門大學,620601,食品科學系,學士班(日間),1,0,1
,101,公立,一般大學,48,國立金門大學,810201,觀光管理學系,學士班(日間),1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,220303,應用外語系,碩士班(日間),1,0,1
,101,公立,技專校院,22,國立臺灣科技大學,230301,工商業設計系,碩士班(日間),2,2,0
,101,公立,技專校院,22,國立臺灣科技大學,340301,企業管理系,碩士班(日間),1,0,1
,101,公立,技專校院,22,國立臺灣科技大學,340501,財務金融研究所,碩士班(日間),3,2,1
,101,公立,技專校院,22,國立臺灣科技大學,349901,科技管理研究所,碩士班(日間),1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,520101,電機工程系,碩士班(日間),1,0,1
,101,公立,技專校院,22,國立臺灣科技大學,520103,電子工程系,碩士班(日間),2,2,0
,101,公立,技專校院,22,國立臺灣科技大學,520114,資訊工程系,碩士班(日間),2,1,1
,101,公立,技專校院,22,國立臺灣科技大學,520201,機械工程系,碩士班(日間),2,2,0
,101,公立,技專校院,22,國立臺灣科技大學,520311,營建工程系,碩士班(日間),1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,520401,化學工程系,博士班,1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,520502,材料科學與工程系,碩士班(日間),1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,520502,材料科學與工程學系,碩士班(日間),1,1,0
,101,公立,技專校院,22,國立臺灣科技大學,520502,材料科學與工程系,博士班,1,0,1
,101,公立,技專校院,22,國立臺灣科技大學,580101,建築系,碩士班(日間),2,1,1
,101,公立,技專校院,22,國立臺灣科技大學,580101,建築系,博士班,1,1,0
,101,公立,技專校院,23,國立雲林科技大學,230106,設計學研究所,博士班,1,1,0
,101,公立,技專校院,23,國立雲林科技大學,230201,視覺傳達設計系,碩士班(日間),1,1,0
,101,公立,技專校院,23,國立雲林科技大學,340301,企業管理系,博士班,1,0,1
,101,公立,技專校院,23,國立雲林科技大學,520163,電子與光電工程研究所微電子與光電工程組,碩士班(日間),1,1,0
,101,公立,技專校院,24,國立屏東科技大學,480109,資訊管理系,碩士班(日間),1,1,0
,101,公立,技專校院,25,國立臺北科技大學,140113,技術及職業教育研究所,博士班,1,1,0
,101,公立,技專校院,25,國立臺北科技大學,230112,創新設計研究所,碩士班(日間),2,2,0
,101,公立,技專校院,25,國立臺北科技大學,340303,經營管理系碩士班,碩士班(日間),1,1,0
,101,公立,技專校院,25,國立臺北科技大學,340811,資訊與運籌管理研究所,碩士班(日間),1,1,0
,101,公立,技專校院,25,國立臺北科技大學,520101,電機工程系,博士班,1,1,0
,101,公立,技專校院,25,國立臺北科技大學,520106,光電工程系,碩士班(日間),1,1,0
,101,公立,技專校院,42,國立澎湖科技大學,220303,應用外語系,學士班(日間),1,0,1
,101,公立,技專校院,42,國立澎湖科技大學,340804,行銷與物流管理系,學士班(日間),1,1,0
,101,公立,技專校院,42,國立澎湖科技大學,840106,航運管理系,學士班(日間),1,1,0
,101,公立,技專校院,43,國立勤益科技大學,349970,研發科技與資訊管理研究所,碩士班(日間),1,1,0
,101,公立,技專校院,43,國立勤益科技大學,529907,冷凍空調與能源系,碩士班(日間),1,1,0
,101,公立,技專校院,47,國立高雄餐旅大學,810102,餐旅管理研究所,碩士班(日間),1,0,1
,101,公立,技專校院,142,國立臺北商業技術學院,340403,國際商務系碩士班,碩士班(日間),1,0,1
,101,私立,一般大學,1001,東海大學,210101,美術學系,學士班(日間),4,1,3
,101,私立,一般大學,1001,東海大學,210401,音樂學系,學士班(日間),2,0,2
,101,私立,一般大學,1001,東海大學,220201,中國文學系,學士班(日間),4,0,4
,101,私立,一般大學,1001,東海大學,220301,外國語文學系,學士班(日間),4,0,4
,101,私立,一般大學,1001,東海大學,310101,經濟學系一般經濟組,學士班(日間),2,2,0
,101,私立,一般大學,1001,東海大學,310301,社會學系,學士班(日間),2,1,1
,101,私立,一般大學,1001,東海大學,310301,社會學系,碩士班(日間),3,2,1
,101,私立,一般大學,1001,東海大學,310804,行政管理暨政策學系,學士班(日間),3,2,1
,101,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),1,0,1
,101,私立,一般大學,1001,東海大學,340301,企業管理學系,學士班(日間),7,5,2
,101,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),3,0,3
,101,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,碩士班(日間),1,0,1
,101,私立,一般大學,1001,東海大學,340501,財務金融學系,學士班(日間),3,1,2
,101,私立,一般大學,1001,東海大學,380101,法律學系,學士班(日間),5,1,4
,101,私立,一般大學,1001,東海大學,420103,生命科學系生物醫學組,學士班(日間),2,2,0
,101,私立,一般大學,1001,東海大學,420103,生命科學系生態暨生物多樣性組,學士班(日間),1,1,0
,101,私立,一般大學,1001,東海大學,440101,化學系化學生物組,學士班(日間),1,0,1
,101,私立,一般大學,1001,東海大學,460101,數學系,學士班(日間),1,1,0
,101,私立,一般大學,1001,東海大學,460102,應用數學系,學士班(日間),1,1,0
,101,私立,一般大學,1001,東海大學,480109,資訊管理學系,學士班(日間),1,1,0
,101,私立,一般大學,1001,東海大學,520101,電機工程學系,學士班(日間),2,2,0
,101,私立,一般大學,1001,東海大學,520114,資訊工程學系軟體工程組,學士班(日間),3,2,1
,101,私立,一般大學,1001,東海大學,520602,工業工程與經營資訊學系,學士班(日間),4,2,2
,101,私立,一般大學,1001,東海大學,520904,環境科學與工程學系,學士班(日間),1,1,0
,101,私立,一般大學,1001,東海大學,580101,建築學系,學士班(日間),4,4,0
,101,私立,一般大學,1001,東海大學,580101,建築學系,碩士班(日間),2,2,0
,101,私立,一般大學,1001,東海大學,580203,景觀學系,學士班(日間),12,4,8
,101,私立,一般大學,1001,東海大學,620202,畜產與生物科技學系,學士班(日間),2,1,1
,101,私立,一般大學,1001,東海大學,760301,社會工作學系,博士班,1,1,0
,101,私立,一般大學,1002,輔仁大學,210101,應用美術學系,學士班(日間),2,0,2
,101,私立,一般大學,1002,輔仁大學,210101,應用美術學系,碩士班(日間),2,1,1
,101,私立,一般大學,1002,輔仁大學,210401,音樂學系,學士班(日間),1,1,0
,101,私立,一般大學,1002,輔仁大學,220201,中國文學系,學士班(日間),3,0,3
,101,私立,一般大學,1002,輔仁大學,220201,中國文學系,碩士班(日間),1,1,0
,101,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),7,2,5
,101,私立,一般大學,1002,輔仁大學,220307,英國語文學系,碩士班(日間),1,0,1
,101,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),6,2,4
,101,私立,一般大學,1002,輔仁大學,220316,德語語文學系,學士班(日間),5,1,4
,101,私立,一般大學,1002,輔仁大學,220318,西班牙語文學系,學士班(日間),1,0,1
,101,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),1,1,0
,101,私立,一般大學,1002,輔仁大學,220801,宗教學系,學士班(日間),1,1,0
,101,私立,一般大學,1002,輔仁大學,220801,宗教學系,碩士班(日間),1,1,0
,101,私立,一般大學,1002,輔仁大學,220901,歷史學系,學士班(日間),4,0,4
,101,私立,一般大學,1002,輔仁大學,221101,哲學系,學士班(日間),2,1,1
,101,私立,一般大學,1002,輔仁大學,221101,哲學系,碩士班(日間),1,0,1
