年度,設立別,學校類別,學校統計處代碼,學校名稱,國立學校可用資金,國立學校本年度現金增減情形-業務活動之淨現金流入(出),國立學校本年度現金增減情形-投資活動之淨現金流入(出),國立學校本年度現金增減情形-融資活動之淨現金流入(出),國立學校本年度現金增減情形-匯率變動影響數(107新增),國立學校本年度現金增減情形-小計
105,國立,一般大學,0029,國立臺灣藝術大學,1450844,211655,-158898,74960,...,127716
105,國立,一般大學,0030,國立臺東大學,665213,55191,-145007,601219,...,511403
105,國立,一般大學,0031,國立宜蘭大學,1963238,215577,-139229,114871,...,191219
105,國立,一般大學,0032,國立聯合大學,918161,111968,-114524,194272,...,191717
105,國立,技專校院,0033,國立虎尾科技大學,1476148,208488,-235586,200939,...,173840
105,國立,技專校院,0034,國立高雄海洋科技大學,1070723,186686,-169721,109106,...,126071
105,國立,一般大學,0035,國立臺南藝術大學,835250,75384,-36669,25648,...,64363
105,國立,一般大學,0036,國立臺南大學,873030,63972,-113272,85312,...,36012
105,國立,一般大學,0037,國立臺北教育大學,1376010,174727,-51752,60929,...,183904
105,國立,一般大學,0039,國立臺中教育大學,1303391,94302,-27131,40810,...,107981
105,國立,技專校院,0042,國立澎湖科技大學,909051,81508,-65616,133154,...,149045
105,國立,技專校院,0043,國立勤益科技大學,1207016,146508,-313837,169210,...,1882
105,國立,一般大學,0044,國立體育大學,1209271,95384,-105795,350431,...,340019
105,國立,技專校院,0046,國立臺北護理健康大學,1102905,101404,-94890,71420,...,77934
105,國立,技專校院,0047,國立高雄餐旅大學,720999,81122,-78408,166371,...,169084
105,國立,一般大學,0048,國立金門大學,191880,78824,-36159,29305,...,71970
105,國立,一般大學,0049,國立臺灣體育運動大學,993346,101727,-166414,98480,...,33793
105,國立,技專校院,0050,國立臺中科技大學,2547033,282757,-106425,112824,...,289156
105,國立,技專校院,0051,國立臺北商業大學,1068762,145274,-93414,195002,...,246861
105,國立,一般大學,0052,國立屏東大學,2699618,228424,-133786,163017,...,257655
105,國立,技專校院,0144,國立臺灣戲曲學院,473566,75441,-23410,31524,...,83555
105,國立,技專校院,0221,國立臺南護理專科學校,543386,41481,-28658,25417,...,38240
105,國立,技專校院,0222,國立臺東專科學校,589512,3019,-127936,55524,...,-69394
106,國立,一般大學,0001,國立政治大學,1887311,590198,-102474,170987,-3485,655226
106,國立,一般大學,0002,國立清華大學,1047366,1006181,-958581,494081,-38,541643
106,國立,一般大學,0003,國立臺灣大學,4915495,1270515,-1772233,590452,-44140,44594
106,國立,一般大學,0004,國立臺灣師範大學,2057090,565442,-396081,221668,-10087,380942
106,國立,一般大學,0005,國立成功大學,1577823,1379373,-1072411,488283,0,795245
106,國立,一般大學,0006,國立中興大學,1178483,698924,-813387,174198,0,59735
106,國立,一般大學,0007,國立陽明交通大學,245997,830117,-938536,376407,0,267988
106,國立,一般大學,0008,國立中央大學,1633006,342076,-486241,283448,1073,140356
106,國立,一般大學,0009,國立中山大學,1668884,465938,-343539,192655,0,315054
106,國立,一般大學,0012,國立臺灣海洋大學,1755036,186461,-199775,117397,-113,103970
106,國立,一般大學,0013,國立中正大學,2260446,339939,-313268,150320,-2,176989
106,國立,一般大學,0014,國立高雄師範大學,1419912,144545,-77123,80812,0,148234
106,國立,一般大學,0015,國立彰化師範大學,960879,175040,-133600,110533,-462,151511
106,國立,一般大學,0016,國立陽明大學,952585,417135,-337345,151484,0,231274
106,國立,一般大學,0017,國立臺北大學,1109289,247630,-332628,251393,0,166395
106,國立,一般大學,0018,國立嘉義大學,1711293,336638,-98610,86972,0,325000
106,國立,一般大學,0019,國立高雄大學,656977,95224,-120197,84908,0,59935
106,國立,一般大學,0020,國立東華大學,1959050,381475,-223758,250006,0,407723
106,國立,一般大學,0021,國立暨南國際大學,251966,162529,-108177,63205,0,117557
106,國立,技專校院,0022,國立臺灣科技大學,1151569,403982,-337487,291022,0,357517
106,國立,技專校院,0023,國立雲林科技大學,2293097,301353,-449573,291213,-717,142276
106,國立,技專校院,0024,國立屏東科技大學,1431402,271227,-397705,258445,0,131967
106,國立,技專校院,0025,國立臺北科技大學,2357975,511953,-936383,420618,0,-3812
106,國立,技專校院,0026,國立高雄第一科技大學,1084610,138728,-276501,186955,0,49182
106,國立,技專校院,0027,國立高雄應用科技大學,2045305,308963,-257218,253165,0,304910
106,國立,一般大學,0028,國立臺北藝術大學,254525,71281,-219997,159447,-25,10706
106,國立,一般大學,0029,國立臺灣藝術大學,1549907,137205,-217674,203098,0,122629
106,國立,一般大學,0030,國立臺東大學,732711,144011,-133076,146480,0,157415
106,國立,一般大學,0031,國立宜蘭大學,1990084,225611,-358126,227017,0,94502
106,國立,一般大學,0032,國立聯合大學,989479,149771,-118045,72845,-38,104533
106,國立,技專校院,0033,國立虎尾科技大學,1587251,224479,-346787,262551,0,140243
106,國立,技專校院,0034,國立高雄海洋科技大學,1099759,184351,-188196,93424,0,89579
106,國立,一般大學,0035,國立臺南藝術大學,865798,131171,-70682,26778,0,87267
