學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,一年級學生申請學校宿舍人數(A),一年級學生實際住宿情形-自有宿舍住宿人數-小計(B),一年級學生實際住宿情形-自有宿舍住宿人數-男,一年級學生實際住宿情形-自有宿舍住宿人數-女,一年級學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),一年級學生實際住宿情形-學校租賃宿舍住宿人數-男,一年級學生實際住宿情形-學校租賃宿舍住宿人數-女,一年級學生校外租屋人數(107學年度新增)-小計(D),一年級學生校外租屋人數(107學年度新增)-男,一年級學生校外租屋人數(107學年度新增)-女,學校提供一年級學生實際住宿之比率(%)E=(B+C)/（B+C+D）
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,嘉義縣,488,488,53,435,0,0,0,38,2,36,92.78
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,臺北市,680,680,444,236,0,0,0,0,0,0,100
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,新竹縣,8,8,3,5,0,0,0,0,0,0,100
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,新北市,473,468,183,285,0,0,0,54,32,22,89.66
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,高雄市,715,459,68,391,0,0,0,453,124,329,50.33
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,新北市,93,0,0,0,93,38,55,10,4,6,90.29
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,花蓮縣,664,658,160,498,0,0,0,38,6,32,94.54
108,私立,技專校院,1078,致理學校財團法人致理科技大學,新北市,610,421,126,295,26,0,26,34,9,25,92.93
108,私立,一般大學,1079,康寧學校財團法人康寧大學,臺南市,12,12,5,7,0,0,0,0,0,0,100
108,私立,一般大學,1079,康寧學校財團法人康寧大學,臺北市,252,252,30,222,0,0,0,1,1,0,99.60
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,新北市,105,105,62,43,0,0,0,2,0,2,98.13
108,私立,技專校院,1081,東方學校財團法人東方設計大學,高雄市,59,59,30,29,0,0,0,5,2,3,92.19
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,基隆市,166,166,56,110,0,0,0,54,23,31,75.45
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,臺北市,110,111,72,39,0,0,0,43,20,23,72.08
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,新北市,196,194,84,110,0,0,0,69,38,31,73.76
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,臺南市,202,202,122,80,0,0,0,0,0,0,100
108,私立,技專校院,1148,大漢技術學院,花蓮縣,24,24,13,11,0,0,0,1,0,1,96
108,私立,技專校院,1159,和春技術學院,高雄市,68,68,37,31,0,0,0,0,0,0,100
108,私立,技專校院,1166,亞東技術學院,新北市,114,87,50,37,0,0,0,37,13,24,70.16
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,桃園市,288,288,205,83,0,0,0,10,2,8,96.64
108,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,100,100,60,40,0,0,0,6,5,1,94.34
108,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,22,22,13,9,0,0,0,2,0,2,91.67
108,私立,技專校院,1183,黎明技術學院,新北市,313,296,141,155,0,0,0,1,0,1,99.66
108,私立,技專校院,1185,經國管理暨健康學院,基隆市,731,335,100,235,0,0,0,25,12,13,93.06
108,私立,技專校院,1188,大同技術學院,嘉義市,40,40,16,24,0,0,0,18,7,11,68.97
108,私立,技專校院,1192,臺灣觀光學院,花蓮縣,8,8,5,3,0,0,0,3,2,1,72.73
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,新北市,153,153,39,114,0,0,0,1,1,0,99.35
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,新北市,76,76,28,48,0,0,0,0,0,0,100
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,臺北市,79,79,14,65,0,0,0,1,1,0,98.75
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,新北市,476,476,33,443,0,0,0,21,1,20,95.77
108,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,668,659,120,539,0,0,0,16,7,9,97.63
108,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,740,695,139,556,0,0,0,0,0,0,100
108,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,251,251,34,217,0,0,0,0,0,0,100
108,私立,技專校院,1286,耕莘健康管理專科學校,新北市,403,403,6,397,0,0,0,0,0,0,100
108,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,254,254,29,225,0,0,0,0,0,0,100
108,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,413,389,56,333,0,0,0,5,1,4,98.73
108,私立,技專校院,1289,育英醫護管理專科學校,高雄市,81,81,10,71,0,0,0,5,1,4,94.19
108,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,276,276,41,235,0,0,0,0,0,0,100
108,私立,技專校院,1292,新生醫護管理專科學校,桃園市,373,372,30,342,0,0,0,2,1,1,99.47
108,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義市,122,122,18,104,0,0,0,1,0,1,99.19
108,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義縣,293,293,26,267,0,0,0,0,0,0,100
108,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市,15,15,8,7,0,0,0,0,0,0,100
108,私立,宗教研修學院,1R03,臺北基督學院,新北市,20,20,11,9,0,0,0,0,0,0,100
108,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,臺北市,27,27,9,18,0,0,0,0,0,0,100
108,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,臺南市,9,0,0,0,9,6,3,2,1,1,81.82
108,公立,一般大學,3002,臺北市立大學,臺北市,467,451,145,306,0,0,0,3,1,2,99.34
109,公立,一般大學,0001,國立政治大學,臺北市,2403,2185,866,1319,0,0,0,331,191,140,86.84
109,公立,一般大學,0002,國立清華大學,新竹市,2955,2814,1532,1282,0,0,0,"2,008","1,274",734,58.36
109,公立,一般大學,0003,國立臺灣大學,臺北市,4678,3258,1845,1413,0,0,0,"1,193",774,419,73.20
109,公立,一般大學,0004,國立臺灣師範大學,臺北市,2128,1594,679,915,0,0,0,41,18,23,97.49
109,公立,一般大學,0005,國立成功大學,臺南市,3504,2840,1708,1132,0,0,0,"2,415","1,621",794,54.04
109,公立,一般大學,0006,國立中興大學,臺中市,2866,1934,1069,865,0,0,0,"1,771","1,157",614,52.20
109,公立,一般大學,0007,國立陽明交通大學,新竹市,2136,2136,1390,746,0,0,0,"1,414","1,039",375,60.17
109,公立,一般大學,0007,國立陽明交通大學,臺南市,113,113,100,13,0,0,0,60,51,9,65.32
109,公立,一般大學,0008,國立中央大學,桃園市,1884,1884,1067,817,0,0,0,630,437,193,74.94
109,公立,一般大學,0009,國立中山大學,高雄市,1660,1660,1002,658,0,0,0,192,120,72,89.63
109,公立,一般大學,0012,國立臺灣海洋大學,基隆市,1585,1475,999,476,0,0,0,305,188,117,82.87
109,公立,一般大學,0013,國立中正大學,嘉義縣,1972,1808,986,822,0,0,0,843,566,277,68.20
109,公立,一般大學,0014,國立高雄師範大學,高雄市,844,844,380,464,0,0,0,13,5,8,98.48
109,公立,一般大學,0015,國立彰化師範大學,彰化縣,1312,1169,611,558,0,0,0,238,115,123,83.08
109,公立,一般大學,0016,國立陽明大學,臺北市,361,361,186,175,0,0,0,118,37,81,75.37
109,公立,一般大學,0017,國立臺北大學,新北市,751,751,305,446,0,0,0,403,171,232,65.08
109,公立,一般大學,0017,國立臺北大學,臺北市,104,104,47,57,0,0,0,0,0,0,100
109,公立,一般大學,0018,國立嘉義大學,嘉義市,1439,1339,779,560,0,0,0,8,3,5,99.41
109,公立,一般大學,0018,國立嘉義大學,嘉義縣,575,554,226,328,0,0,0,3,1,2,99.46
109,公立,一般大學,0019,國立高雄大學,高雄市,1029,1007,564,443,0,0,0,18,10,8,98.24
109,公立,一般大學,0020,國立東華大學,花蓮縣,2082,2032,951,1081,0,0,0,444,232,212,82.07
109,公立,一般大學,0021,國立暨南國際大學,南投縣,1196,1196,583,613,0,0,0,449,208,241,72.71
109,公立,技專校院,0022,國立臺灣科技大學,臺北市,1370,1292,885,407,19,10,9,75,42,33,94.59
109,公立,技專校院,0023,國立雲林科技大學,雲林縣,1454,1394,877,517,0,0,0,141,88,53,90.81
109,公立,技專校院,0024,國立屏東科技大學,屏東縣,2031,1985,1065,920,0,0,0,33,25,8,98.36
109,公立,技專校院,0025,國立臺北科技大學,臺北市,1506,1260,854,406,32,32,0,46,28,18,96.56
109,公立,一般大學,0028,國立臺北藝術大學,臺北市,498,498,175,323,0,0,0,15,4,11,97.08
109,公立,一般大學,0029,國立臺灣藝術大學,新北市,500,392,98,294,0,0,0,89,31,58,81.50
109,公立,一般大學,0030,國立臺東大學,臺東縣,845,845,416,429,0,0,0,8,6,2,99.06
109,公立,一般大學,0031,國立宜蘭大學,宜蘭縣,1054,1036,658,378,0,0,0,46,30,16,95.75
109,公立,一般大學,0032,國立聯合大學,苗栗縣,1432,1432,962,470,0,0,0,64,47,17,95.72
109,公立,技專校院,0033,國立虎尾科技大學,雲林縣,1688,1479,1071,408,0,0,0,363,321,42,80.29
109,公立,一般大學,0035,國立臺南藝術大學,臺南市,284,284,87,197,0,0,0,12,6,6,95.95
109,公立,一般大學,0036,國立臺南大學,臺南市,787,775,345,430,0,0,0,80,35,45,90.64
109,公立,一般大學,0037,國立臺北教育大學,臺北市,448,448,153,295,0,0,0,9,3,6,98.03
109,公立,一般大學,0039,國立臺中教育大學,臺中市,622,616,216,400,0,0,0,22,7,15,96.55
109,公立,技專校院,0042,國立澎湖科技大學,澎湖縣,613,613,379,234,0,0,0,213,122,91,74.21
109,公立,技專校院,0043,國立勤益科技大學,臺中市,1122,751,387,364,40,26,14,737,667,70,51.77
109,公立,一般大學,0044,國立體育大學,桃園市,554,469,288,181,0,0,0,0,0,0,100
109,公立,技專校院,0046,國立臺北護理健康大學,臺北市,685,665,99,566,0,0,0,0,0,0,100
109,公立,技專校院,0047,國立高雄餐旅大學,高雄市,970,970,321,649,0,0,0,317,104,213,75.37
109,公立,一般大學,0048,國立金門大學,金門縣,699,665,367,298,34,21,13,79,56,23,89.85
109,公立,一般大學,0049,國立臺灣體育運動大學,臺中市,445,445,244,201,0,0,0,69,41,28,86.58
109,公立,技專校院,0050,國立臺中科技大學,臺中市,1206,950,101,849,0,0,0,574,269,305,62.34
109,公立,技專校院,0051,國立臺北商業大學,桃園市,200,200,60,140,0,0,0,15,4,11,93.02
109,公立,技專校院,0051,國立臺北商業大學,新北市,320,0,0,0,206,46,160,94,23,71,68.67
