學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,年齡組別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0009,國立中山大學,編制外,35歲至未滿40歲,7,0,0,0,0,0,0,7,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,40歲至未滿45歲,11,0,0,0,0,0,1,10,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,45歲至未滿50歲,10,0,0,0,0,0,0,10,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,50歲至未滿55歲,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,55歲至未滿60歲,2,0,0,0,0,0,1,1,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,60歲至未滿65歲,1,0,0,0,0,0,1,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制外,65歲以上,5,0,0,0,0,4,0,1,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,30歲至未滿35歲,8,0,0,8,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,35歲至未滿40歲,25,1,4,19,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,40歲至未滿45歲,62,7,26,29,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,45歲至未滿50歲,68,28,19,19,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,50歲至未滿55歲,83,41,25,9,0,0,0,0,0,0,0,1,0,7
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,55歲至未滿60歲,83,46,18,15,1,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,60歲至未滿65歲,83,56,20,6,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,65歲以上,18,14,3,1,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,30歲至未滿35歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
