學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術學士學位學程,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),16690,6900,
107,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,02321106,台灣文學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,07141071,工程科學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),17990,11500,
