,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,教師總數,男,女,男,女,男,女,男,女,男,女,男,女,總計 ,男,女
,101,公立,一般大學,4,國立臺灣師範大學,地球科學系,19,14,5,7,2,2,1,5,2,0,0,0,0,19,14,5
,101,公立,一般大學,4,國立臺灣師範大學,物理學系,32,25,7,14,2,4,0,7,3,0,0,0,2,30,25,5
,101,公立,一般大學,4,國立臺灣師範大學,數學系,35,26,9,12,2,7,4,6,3,1,0,0,0,34,25,9
,101,公立,一般大學,4,國立臺灣師範大學,光電科技研究所,8,7,1,2,1,3,0,2,0,0,0,0,0,8,7,1
,101,公立,一般大學,4,國立臺灣師範大學,資訊工程學系,15,11,4,7,0,2,2,2,2,0,0,0,0,15,11,4
,101,公立,一般大學,4,國立臺灣師範大學,應用電子科技學系,12,12,0,7,0,4,0,1,0,0,0,0,0,12,12,0
,101,公立,一般大學,4,國立臺灣師範大學,機電科技學系,15,15,0,7,0,5,0,2,0,0,0,1,0,14,14,0
,101,公立,一般大學,4,國立臺灣師範大學,海洋環境科技研究所,5,4,1,2,0,0,0,2,1,0,0,0,0,5,4,1
,101,公立,一般大學,4,國立臺灣師範大學,復健諮商研究所,3,1,2,0,0,1,1,0,1,0,0,0,0,3,1,2
,101,公立,一般大學,4,國立臺灣師範大學,社會工作學研究所,4,1,3,0,3,1,0,0,0,0,0,0,0,4,1,3
,101,公立,一般大學,4,國立臺灣師範大學,運動競技學系,19,14,5,6,1,4,0,2,1,0,0,2,3,14,12,2
,101,公立,一般大學,4,國立臺灣師範大學,運動休閒與餐旅管理研究所,12,7,5,3,3,3,1,1,1,0,0,0,0,12,7,5
,101,公立,一般大學,4,國立臺灣師範大學,教務處通識教育中心,4,1,3,0,0,1,0,0,2,0,1,0,0,3,1,2
,101,公立,一般大學,4,國立臺灣師範大學,軍訓室：其他教師(含軍護教師),11,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0
,101,公立,一般大學,4,國立臺灣師範大學,師資培育與就業輔導處,4,1,3,0,0,1,1,0,2,0,0,0,0,4,1,3
,101,公立,一般大學,4,國立臺灣師範大學,人文社會學科,17,7,10,0,0,3,5,2,2,2,2,0,1,12,5,7
,101,公立,一般大學,4,國立臺灣師範大學,外語學科,10,1,9,0,0,0,2,1,2,0,5,0,0,5,1,4
,101,公立,一般大學,4,國立臺灣師範大學,華語文學科,7,4,3,1,1,1,0,0,0,2,1,0,1,3,2,1
,101,公立,一般大學,4,國立臺灣師範大學,數理學科,15,9,6,1,0,3,1,0,1,5,3,0,1,6,4,2
,101,公立,一般大學,5,國立成功大學,教育研究所,9,4,5,4,2,0,3,0,0,0,0,0,0,9,4,5
,101,公立,一般大學,5,國立成功大學,藝術研究所,5,2,3,0,0,1,3,1,0,0,0,0,0,5,2,3
,101,公立,一般大學,5,國立成功大學,台灣文學系,15,5,10,1,2,2,4,2,4,0,0,0,0,15,5,10
,101,公立,一般大學,5,國立成功大學,中國文學系,31,15,16,10,2,3,12,1,2,0,0,1,0,30,14,16
,101,公立,一般大學,5,國立成功大學,外國語文學系,42,17,25,3,5,5,8,3,2,5,10,1,0,26,11,15
,101,公立,一般大學,5,國立成功大學,歷史學系,25,13,12,6,4,4,5,2,2,0,1,1,0,23,12,11
,101,公立,一般大學,5,國立成功大學,創意產業設計研究所,6,3,3,0,0,2,0,1,3,0,0,0,0,6,3,3
,101,公立,一般大學,5,國立成功大學,工業設計學系,14,13,1,4,0,4,0,4,0,1,1,0,0,12,12,0
,101,公立,一般大學,5,國立成功大學,經濟學系,11,7,4,1,2,4,2,2,0,0,0,0,0,11,7,4
,101,公立,一般大學,5,國立成功大學,政治學系,15,14,1,6,0,5,1,3,0,0,0,0,0,15,14,1
,101,公立,一般大學,5,國立成功大學,心理學系,10,6,4,1,1,1,0,4,3,0,0,0,0,10,6,4
,101,公立,一般大學,5,國立成功大學,行為醫學研究所,4,1,3,1,2,0,1,0,0,0,0,0,0,4,1,3
,101,公立,一般大學,5,國立成功大學,會計學系,19,18,1,9,0,7,1,2,0,0,0,0,0,19,18,1
,101,公立,一般大學,5,國立成功大學,企業管理學系,23,13,10,9,3,2,3,1,4,0,0,1,0,22,12,10
,101,公立,一般大學,5,國立成功大學,國際經營管理研究所,6,4,2,0,0,2,0,2,2,0,0,0,0,6,4,2
,101,公立,一般大學,5,國立成功大學,工業與資訊管理學系,21,18,3,12,0,3,1,3,2,0,0,0,0,21,18,3
,101,公立,一般大學,5,國立成功大學,法律學系,19,14,5,3,1,6,3,5,1,0,0,0,0,19,14,5
,101,公立,一般大學,5,國立成功大學,生命科學系,21,11,10,4,3,0,1,7,2,0,1,0,3,17,11,6
