學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀輔系人次小計,修讀輔系人次男,修讀輔系人次女
105,1,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),5,1,4
105,1,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),3,1,2
105,1,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),4,2,2
105,1,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),1,1,0
105,1,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),4,3,1
105,1,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),10,7,3
105,1,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),6,3,3
105,1,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),4,2,2
105,1,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),4,4,0
105,1,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),4,4,0
105,1,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),6,4,2
105,1,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),4,2,2
105,1,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),2,0,2
105,1,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),4,4,0
105,1,公立,一般大學,0005,國立成功大學,07194071,工程科學系,學士班(日間),1,0,1
105,1,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),5,3,2
105,1,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),1,0,1
105,1,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),2,1,1
105,1,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),10,8,2
105,1,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),1,0,1
105,1,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),2,1,1
105,1,公立,一般大學,0005,國立成功大學,09151082,物理治療學系,學士班(日間),1,0,1
105,1,公立,一般大學,0005,國立成功大學,09161086,藥學系,學士班(日間),1,1,0
105,1,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),3,2,1
105,1,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),24,11,13
105,1,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),14,4,10
105,1,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(進修),1,0,1
105,1,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),29,5,24
105,1,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(進修),1,0,1
105,1,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),8,3,5
105,1,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),9,4,5
105,1,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),7,2,5
105,1,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),5,0,5
105,1,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),2,0,2
105,1,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),9,6,3
105,1,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),5,3,2
105,1,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),10,6,4
105,1,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),9,5,4
105,1,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,學士班(日間),3,3,0
