學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,私立,一般大學,1035,中國醫藥大學,是,專門著作,35,18,10,0,28,80
106,私立,技專校院,1036,健行學校財團法人健行科技大學,否,專門著作,0,1,0,1,2,0
106,私立,技專校院,1036,健行學校財團法人健行科技大學,否,應用科技(技術報告),0,0,2,0,2,0
106,私立,技專校院,1036,健行學校財團法人健行科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,是,專門著作,0,1,2,0,3,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,是,應用科技(技術報告),0,2,0,0,2,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,是,藝術作品(作品及成就),0,1,1,1,3,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,是,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,否,專門著作,0,0,1,0,1,0
106,私立,一般大學,1039,玄奘大學,否,專門著作,8,0,6,1,7,87.50
106,私立,一般大學,1039,玄奘大學,否,教學實務(技術報告),5,0,3,0,3,60
106,私立,一般大學,1039,玄奘大學,否,學位論文(文憑送審),1,0,0,0,0,0
106,私立,技專校院,1040,建國科技大學,否,專門著作,0,0,2,0,2,0
106,私立,技專校院,1040,建國科技大學,否,藝術作品(作品及成就),0,0,0,1,1,0
106,私立,技專校院,1040,建國科技大學,否,教學實務(技術報告),0,1,0,0,1,0
106,私立,技專校院,1041,明志科技大學,是,學位論文(文憑送審),0,1,0,2,3,0
106,私立,技專校院,1042,高苑科技大學,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1042,高苑科技大學,否,應用科技(技術報告),2,1,0,0,1,50
106,私立,技專校院,1043,大仁科技大學,否,專門著作,3,1,3,1,5,100
106,私立,技專校院,1043,大仁科技大學,否,藝術作品(作品及成就),1,0,0,0,0,0
106,私立,技專校院,1043,大仁科技大學,否,教學實務(技術報告),0,0,1,0,1,0
106,私立,技專校院,1043,大仁科技大學,否,學位論文(文憑送審),0,0,0,3,3,0
106,私立,技專校院,1044,聖約翰科技大學,否,專門著作,1,0,1,0,1,100
106,私立,技專校院,1046,中國科技大學,是,應用科技(技術報告),0,0,2,1,3,0
106,私立,技專校院,1046,中國科技大學,是,教學實務(技術報告),0,0,0,1,1,0
106,私立,技專校院,1046,中國科技大學,是,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1047,中臺科技大學,否,專門著作,0,1,0,0,1,0
106,私立,技專校院,1047,中臺科技大學,否,應用科技(技術報告),0,1,0,0,1,0
106,私立,一般大學,1048,亞洲大學,是,專門著作,11,1,1,0,2,18.18
106,私立,一般大學,1048,亞洲大學,是,應用科技(技術報告),4,1,0,0,1,25
106,私立,一般大學,1048,亞洲大學,是,藝術作品(作品及成就),1,0,0,0,0,0
106,私立,一般大學,1048,亞洲大學,是,教學實務(技術報告),4,1,2,0,3,75
106,私立,一般大學,1048,亞洲大學,是,學位論文(文憑送審),13,0,0,13,13,100
106,私立,一般大學,1049,開南大學,否,專門著作,18,2,11,0,13,72.22
106,私立,一般大學,1049,開南大學,否,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1050,佛光大學,是,專門著作,8,2,3,0,5,62.50
106,私立,一般大學,1050,佛光大學,是,學位論文(文憑送審),4,0,0,4,4,100
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,專門著作,0,1,1,0,2,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,應用科技(技術報告),0,0,1,0,1,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,藝術作品(作品及成就),0,2,0,0,2,0
106,私立,技專校院,1052,遠東科技大學,否,專門著作,0,0,1,0,1,0
106,私立,技專校院,1052,遠東科技大學,否,應用科技(技術報告),1,0,2,0,2,100
106,私立,技專校院,1052,遠東科技大學,否,教學實務(技術報告),0,1,0,0,1,0
106,私立,技專校院,1052,遠東科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,否,專門著作,0,0,0,1,1,0
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1054,景文科技大學,否,專門著作,0,2,0,0,2,0
106,私立,技專校院,1054,景文科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1055,中華醫事科技大學,否,專門著作,0,2,3,0,5,0
