學年度,設立別,學校類別,學校統計處代碼,學校名稱,紙本圖書收藏冊數(冊)-中文紙本圖書-總類,紙本圖書收藏冊數(冊)-中文紙本圖書-哲學類,紙本圖書收藏冊數(冊)-中文紙本圖書-宗教類,紙本圖書收藏冊數(冊)-中文紙本圖書-自然科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-應用科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-社會科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-史地類(含世界史地類),紙本圖書收藏冊數(冊)-中文紙本圖書-語言文學類,紙本圖書收藏冊數(冊)-中文紙本圖書-藝術類,紙本圖書收藏冊數(冊)-外文紙本圖書,期刊合訂本(未以紙本圖書編目)(冊),電子資料可使用量-線上資料庫(種),電子資料可使用量-光碟及其他類型資料庫(種),電子資料可使用量-電子期刊(種),電子資料可使用量-電子書(冊),視聽資料(件),現期書報(種)-報紙(種),現期書報(種)期刊-中日文(種),現期書報(種)期刊-西文(種),圖書館服務(人次)-圖書閱覽座位數,圖書館服務(人次)-借閱人次(僅含紙本圖書及非書資料),圖書館服務(人次)-借閱冊次(僅含紙本圖書及非書資料),圖書館服務(人次)-線上及光碟資料庫(含電子書及電子期刊)檢索人次
106,私立,一般大學,1021,真理大學,45208,22631,17968,25509,58842,69894,34030,64852,26715,89105,0,123,0,32489,341695,3657,14,567,15,793,11807,36304,90336
106,私立,一般大學,1022,大同大學,8763,5830,2488,14273,25265,19475,13003,21296,7389,50220,32679,108,3,17094,160156,6912,9,82,101,564,7132,14688,107289
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,43148,13619,5194,31848,66724,54910,25575,59944,22403,77744,16737,133,0,23367,909191,27715,19,504,61,910,52756,120806,82594
106,私立,技專校院,1024,崑山科技大學,23091,20081,7992,27750,65613,47430,23468,64430,23340,34660,30756,216,3,27036,2989295,19049,14,844,207,2000,19424,70916,251053
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,36371,22628,7930,29474,72993,47704,23913,55215,20631,52521,3821,177,2,25248,149325,32024,12,985,103,1460,67002,116302,683134
106,私立,技專校院,1026,樹德科技大學,16881,23121,9498,22359,54221,52637,24927,67124,27659,63378,21145,63,0,351,122769,20035,13,472,28,500,35677,99247,142277
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,9337,15576,15800,12506,37156,37978,19910,50250,14286,67345,56465,207,1,53597,128182,20945,14,402,21,868,26930,57735,983085
106,私立,一般大學,1028,臺北醫學大學,1830,4897,2433,6731,21101,10386,6497,18943,2987,52182,30485,111,0,17422,89422,10067,7,471,41,660,41462,207309,964672
106,私立,一般大學,1029,中山醫學大學,11333,8920,3514,12338,40523,22355,10911,26220,6158,63528,82733,116,3,23519,790536,17889,9,227,17,491,26614,63070,1303208
106,私立,技專校院,1030,龍華科技大學,4666,18892,6630,44058,79185,44012,19161,62752,16747,63506,7767,214,0,38676,177706,9055,13,206,49,302,23678,40808,483354
106,私立,技專校院,1031,輔英科技大學,6979,15155,7009,21591,57074,33628,15041,52291,12567,35722,27844,118,0,42806,102599,7719,6,642,92,546,29657,85033,1342082
106,私立,技專校院,1032,明新學校財團法人明新科技大學,11074,11414,4107,25203,49955,38186,15727,52078,9671,72341,8747,120,0,70381,414209,28724,8,376,14,738,28295,71358,367434
106,私立,一般大學,1033,長榮大學,14500,21135,13344,31758,56979,67323,24637,61304,22094,75879,0,227,2,51021,205852,19464,15,1064,216,739,20181,52818,510784
106,私立,技專校院,1034,弘光科技大學,8930,19332,6073,23536,58226,45964,19792,65044,14039,36204,0,75,0,21864,11439,16795,16,511,147,420,65836,109231,476479
106,私立,一般大學,1035,中國醫藥大學,13444,11300,4417,14120,76335,20611,16547,40444,11940,55499,33410,120,18,33191,329357,20130,6,963,993,929,51963,124315,491180
106,私立,技專校院,1036,健行學校財團法人健行科技大學,12543,8156,3870,36747,67807,27922,14984,28785,7985,64613,10655,196,0,55068,174510,35416,12,504,39,543,19473,65330,355790
106,私立,技專校院,1037,正修學校財團法人正修科技大學,11852,9003,3651,26939,79031,41662,13724,40493,16940,55861,10680,27,0,54736,61825,23671,11,559,45,1280,22516,55695,177654
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,12434,15356,3183,34028,72595,25084,19099,43964,17553,62353,10389,126,36,27847,28219,15693,11,362,81,479,40753,53101,270029
106,私立,一般大學,1039,玄奘大學,18587,16703,26840,12625,25658,59168,25413,46031,17189,61287,7129,128,0,28080,183597,8341,11,155,5,671,14713,32792,250240
106,私立,技專校院,1040,建國科技大學,18512,17665,7620,29118,75043,36741,22909,59526,25957,49291,0,98,5,23883,265420,17440,15,699,104,420,44503,145391,105938
106,私立,技專校院,1041,明志科技大學,4049,5070,1414,12863,28521,15085,8053,21112,7824,39737,20376,36,13,20052,530379,2859,7,108,17,407,7626,26642,124401
106,私立,技專校院,1042,高苑科技大學,6138,13517,5385,32601,71415,40592,19175,42346,21414,42872,24742,96,5,27622,58781,24670,12,496,0,806,19065,87619,77854
106,私立,技專校院,1043,大仁科技大學,9610,11529,5196,23518,62286,31941,16890,54465,18861,33781,0,164,7,15664,241756,12882,13,501,122,870,25004,62509,254579
106,私立,技專校院,1044,聖約翰科技大學,11526,15082,12017,45548,48519,30326,19176,35059,17135,36644,0,104,6,37431,45754,12590,8,335,114,557,7149,18114,191843
106,私立,技專校院,1045,嶺東科技大學,18445,18715,5051,27995,55869,62387,22232,66315,20665,47817,0,91,4,29533,401806,5711,14,706,152,907,50564,74739,237960
106,私立,技專校院,1046,中國科技大學,8693,14849,3557,33975,75266,50723,18085,53603,27232,40465,8783,44,0,64,6582,10894,9,315,80,988,26677,80933,172081
106,私立,技專校院,1047,中臺科技大學,10793,15415,7494,26802,65840,40449,15219,51819,22159,56548,0,120,0,42668,51317,15891,9,669,159,1250,38974,73034,609759
106,私立,一般大學,1048,亞洲大學,9392,36235,13042,32605,78394,85604,31287,101624,23651,99322,26180,240,0,46662,1028894,11314,6,875,126,589,99957,231977,398483
106,私立,一般大學,1049,開南大學,11576,17117,7355,21543,54610,85055,21736,47281,13217,77894,732,146,0,46196,113582,6206,8,391,95,1067,7771,15631,182552
106,私立,一般大學,1050,佛光大學,32955,13767,21332,6743,13364,33087,30194,45591,14967,55142,17982,168,37,44068,766869,13777,9,451,159,786,14521,36018,284096
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,14013,14757,4782,13241,53498,52486,20216,54572,39590,76437,17424,88,11,1456,144064,28384,19,662,328,1180,63636,239696,481528
106,私立,技專校院,1052,遠東科技大學,11611,8613,3987,48112,63784,26563,12298,42190,15649,35383,1087,70,0,30411,481092,10132,8,915,139,911,33742,89853,187716
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,6453,14045,6920,25009,54366,30661,14387,44662,12812,39922,18748,115,14,27157,342214,7593,7,208,4,542,15348,33469,276123
106,私立,技專校院,1054,景文科技大學,11573,11633,5455,29647,49891,56248,17614,47094,15725,65355,0,150,0,37755,94034,13639,2,423,10,450,15178,71495,147741
106,私立,技專校院,1055,中華醫事科技大學,4712,12875,5092,18145,55096,28815,12574,42424,10541,17890,18244,92,0,44095,270134,6831,3,200,66,359,15328,31696,793145
106,私立,技專校院,1056,東南科技大學,10513,14099,3666,29322,49947,29241,15224,37407,15695,30508,5690,91,0,17142,35997,9022,8,479,33,606,33798,50008,399569
106,私立,技專校院,1057,德明財經科技大學,19604,13628,3212,23854,42877,61569,19807,42218,14198,30547,36822,231,12,56349,127742,15109,11,845,342,652,26790,36725,238900
106,私立,一般大學,1058,明道學校財團法人明道大學,7617,16353,13789,40604,37672,11809,11634,68289,19909,53015,3544,47,0,12931,88271,5241,2,560,24,300,16427,42431,3110
106,私立,技專校院,1060,南開科技大學,8546,11625,3246,16905,38457,27976,18251,42290,16503,23174,22565,130,2,36475,218858,12838,16,414,83,500,7247,30182,187956
106,私立,技專校院,1061,中華學校財團法人中華科技大學,7220,8500,3408,21311,40971,22172,11421,27500,7682,49762,7433,49,0,39133,109049,4308,7,699,87,814,9208,14796,72217
106,私立,技專校院,1062,僑光科技大學,16867,9449,2973,18614,36943,48526,15028,32290,10198,38088,15027,74,5,44290,123217,10572,10,676,143,676,57156,117929,280583
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,8501,16229,5689,23258,55616,71791,23144,64586,15645,43664,7538,73,0,42188,141199,17967,8,581,42,832,16493,41130,39222
106,私立,技專校院,1064,美和學校財團法人美和科技大學,16762,13494,4744,21548,59786,54057,18072,45784,16406,38500,0,69,0,449,26518,18359,4,472,133,600,32317,86881,1575529
106,私立,技專校院,1065,吳鳳科技大學,6481,12724,3704,31762,55555,37159,16548,48871,20690,37129,17052,123,0,40260,95248,10296,8,614,74,423,13344,62310,31101
106,私立,技專校院,1066,環球學校財團法人環球科技大學,10175,16150,4852,20181,52665,49836,20714,52896,31048,47301,0,56,0,26485,70125,12245,9,391,86,390,27740,110460,20764
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,12770,44545,18595,43202,135873,95267,52658,153551,49779,36877,0,67,0,5,17,15564,9,526,0,360,2241,13652,7024
106,私立,技專校院,1068,中州學校財團法人中州科技大學,6761,9768,3338,39173,70890,28438,10611,60110,52580,26804,9405,41,0,3821,48861,11054,8,528,86,580,2329,20016,351736
106,私立,技專校院,1069,修平學校財團法人修平科技大學,11345,13246,3768,24052,66325,31376,18517,44343,10452,36051,256,205,114,46533,59590,18846,15,651,127,710,12067,27324,44163
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,3893,21142,3079,18739,69155,28232,12903,48083,11797,45343,0,52,0,35977,29170,31826,17,441,195,1017,7639,76395,2050324
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,10238,9518,2181,26292,49177,22814,13669,39657,11044,19909,25792,51,0,26670,180532,8110,9,868,99,1124,6751,15497,43077
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,16304,8112,3727,29408,53833,39886,17186,32289,16594,26139,0,138,43,28160,379937,16774,9,73,0,1015,3775,32396,34614
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,8207,12062,4789,14580,34489,36887,20264,40456,11482,22452,9172,51,4,33222,110950,9054,9,322,90,1221,13139,26298,63805
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,4411,6917,2683,25109,52679,19928,10205,30941,13443,25872,0,50,0,39,53922,3604,9,283,39,466,4702,26190,1135
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,11177,10573,5918,8547,15406,27315,19822,50329,14414,163241,0,152,0,49536,407806,61385,21,471,146,901,49192,226002,624420
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,5162,7558,2487,32024,53426,18907,9698,26845,13651,29609,6495,84,4,19322,141005,7595,8,466,114,333,8186,20618,108752
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,6590,19088,10644,19021,64980,44186,18347,47101,15282,41657,10056,147,0,25211,21755,30169,9,186,30,560,33774,92466,72020
106,私立,技專校院,1078,致理學校財團法人致理科技大學,11535,13562,4382,23178,44129,56770,18535,55167,12966,34192,8765,152,2,31114,119031,14696,11,1243,444,774,75495,157168,145387
106,私立,一般大學,1079,康寧學校財團法人康寧大學,9262,18712,6200,26949,57646,51850,20063,54100,20502,36580,12080,88,0,19886,70375,25748,10,437,49,312,7921,55993,144485
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,4975,5412,2758,23933,51460,37586,8901,28874,10413,28585,13714,94,0,21906,106945,7062,85,515,75,548,26320,49309,36596
106,私立,技專校院,1081,東方學校財團法人東方設計大學,15713,8172,3995,22808,40957,23248,14181,37942,24267,33287,0,57,0,15,93011,19845,11,453,127,450,4178,13489,195799
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,7853,8898,3698,10400,25132,31782,13830,30636,8270,15473,3756,34,0,1,12874,4841,6,732,82,131,7384,22774,43487
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,11778,5669,1900,19409,30357,23680,15699,23764,13657,17165,17715,35,0,16209,26754,8264,11,533,11,262,12920,24542,127862
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,5425,13283,6620,15781,37382,41678,14830,40341,10814,41162,5068,20,0,472,66773,3660,3,0,0,177,1669,4012,7407
