年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費,學校承接計畫經費-小計,學校承接計畫經費-政府部門資助,學校承接計畫經費-企業部門資助,學校承接計畫經費-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費
106,公立,技專校院,0046,國立臺北護理健康大學,174,776527963,172882788,163143340,6241223,3498225,22.26,993579.24
106,公立,技專校院,0047,國立高雄餐旅大學,149,746687891,199407521,184364756,12578965,2463800,26.71,1338305.51
106,公立,一般大學,0048,國立金門大學,149,631620441,53204493,49785410,1187083,2232000,8.42,357077.13
106,公立,一般大學,0049,國立臺灣體育運動大學,108,576716314,26467369,11947709,12459660,2060000,4.59,245068.23
106,公立,技專校院,0050,國立臺中科技大學,405,1691822137,149867569,127112928,16197332,6557309,8.86,370043.38
106,公立,技專校院,0051,國立臺北商業大學,208,989401758,117851764,101726869,11760509,4364386,11.91,566595.02
106,公立,一般大學,0052,國立屏東大學,339,1459446640,486006748,467498879,7335028,11172841,33.30,1433648.22
106,公立,技專校院,0144,國立臺灣戲曲學院,34,566992884,15389081,5591280,4132000,5665801,2.71,452620.03
106,公立,技專校院,0221,國立臺南護理專科學校,85,275287457,19206573,17018573,1308000,880000,6.98,225959.68
106,公立,技專校院,0222,國立臺東專科學校,64,382303844,23676307,21879707,1372600,424000,6.19,369942.30
106,私立,一般大學,1001,東海大學,533,2659538309,400680937,356171150,30712597,13797190,15.07,751746.60
106,私立,一般大學,1002,輔仁大學,698,4077625929,363274572,322152465,11680117,29441990,8.91,520450.68
106,私立,一般大學,1003,東吳大學,435,2261886938,240988016,214947898,14833349,11206769,10.65,553995.44
106,私立,一般大學,1004,中原大學,482,3111396348,671791766,590809870,33632956,47348940,21.59,1393758.85
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,759,3707481833,424174356,399791291,18483615,5899450,11.44,558859.49
106,私立,一般大學,1006,中國文化大學,746,3794297382,247266912,220815829,17195730,9255353,6.52,331456.99
106,私立,一般大學,1007,逢甲大學,649,4051335518,1131718118,1023706506,69544813,38466799,27.93,1743787.55
106,私立,一般大學,1008,靜宜大學,368,1776407246,324418451,299562409,20810317,4045725,18.26,881571.88
106,私立,一般大學,1009,長庚大學,596,4550924532,592943082,513496623,69341755,10104704,13.03,994870.94
106,私立,一般大學,1010,元智大學,309,1750775264,342807778,269807336,30738626,42261816,19.58,1109410.28
106,私立,一般大學,1011,中華大學學校財團法人中華大學,255,1147466483,134047468,114440277,10727241,8879950,11.68,525676.35
106,私立,一般大學,1012,大葉大學,336,1698585658,277266379,238843649,28601292,9821438,16.32,825197.56
106,私立,一般大學,1013,華梵大學,109,379535127,43262853,42031253,934260,297340,11.40,396906.91
106,私立,一般大學,1014,義守大學,488,2719180120,403900428,283405153,55967136,64528139,14.85,827664.81
106,私立,一般大學,1015,世新大學,326,1777087114,282503443,261588812,10530372,10384259,15.90,866574.98
106,私立,一般大學,1016,銘傳大學,591,2713410887,236103470,223492732,7265545,5345193,8.70,399498.26
106,私立,一般大學,1017,實踐大學,399,1839725202,158292746,142833939,10617840,4840967,8.60,396723.67
106,私立,技專校院,1018,朝陽科技大學,400,2279895217,405289123,318605140,52266722,34417261,17.78,1013222.81
106,私立,一般大學,1019,高雄醫學大學,557,3022599085,916605130,652850920,256889595,6864615,30.33,1645610.65
106,私立,一般大學,1020,南華大學,217,1390965366,81006013,77944541,1866699,1194773,5.82,373299.60
106,私立,一般大學,1021,真理大學,280,819009642,27803239,27645239,158000,0,3.39,99297.28
106,私立,一般大學,1022,大同大學,165,809646637,153449570,112726105,37073465,3650000,18.95,929997.39
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,578,2708663546,729640759,585186859,91144183,53309717,26.94,1262354.25
106,私立,技專校院,1024,崑山科技大學,359,1783841151,461075742,412096619,39827828,9151295,25.85,1284333.54
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,478,2127029150,215504280,171074830,43330426,1099024,10.13,450845.77
106,私立,技專校院,1026,樹德科技大學,281,1418349328,145977584,117773142,21734442,6470000,10.29,519493.18
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,251,1534514056,402088304,161872900,3707018,236508386,26.20,1601945.43
106,私立,一般大學,1028,臺北醫學大學,620,4102847885,1426704361,1049796432,344419105,32488824,34.77,2301136.07
106,私立,一般大學,1029,中山醫學大學,399,1616900004,496960025,326303296,42704725,127952004,30.74,1245513.85
106,私立,技專校院,1030,龍華科技大學,242,1284521935,254743861,207491506,28841135,18411220,19.83,1052660.58
106,私立,技專校院,1031,輔英科技大學,331,1211298568,146295927,132703039,10635162,2957726,12.08,441981.65
106,私立,技專校院,1032,明新學校財團法人明新科技大學,372,841282960,97406298,73229540,17791912,6384846,11.58,261844.89
106,私立,一般大學,1033,長榮大學,350,1321610533,167146783,121788881,7798012,37559890,12.65,477562.24
