年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
106,公立,一般大學,0003,國立臺灣大學,2045,2036999697,1475297649,306786697,254915351,996087.87
106,公立,一般大學,0004,國立臺灣師範大學,826,1110024519,1012629212,60067724,37327583,1343855.35
106,公立,一般大學,0005,國立成功大學,1326,1895034488,1125039526,398229848,371765114,1429136.11
106,公立,一般大學,0006,國立中興大學,769,616235429,268293300,282212871,65729258,801346.46
106,公立,一般大學,0007,國立陽明交通大學,722,901460276,455021149,274034811,172404316,1248559.94
106,公立,一般大學,0008,國立中央大學,653,584494392,251614381,143298792,189581219,895090.95
106,公立,一般大學,0009,國立中山大學,509,509277945,279488959,150613662,79175324,1000546.06
106,公立,一般大學,0012,國立臺灣海洋大學,414,304131405,133452493,124124938,46553974,734616.92
106,公立,一般大學,0013,國立中正大學,542,41175376,31691100,7281276,2203000,75969.33
106,公立,一般大學,0014,國立高雄師範大學,290,42572097,8159005,5022920,29390172,146800.33
106,公立,一般大學,0015,國立彰化師範大學,373,33621913,7834000,23025613,2762300,90139.18
106,公立,一般大學,0016,國立陽明大學,398,86316956,31158000,48956526,6202430,216876.77
106,公立,一般大學,0017,國立臺北大學,380,15930741,3043000,6342195,6545546,41923
106,公立,一般大學,0018,國立嘉義大學,515,94015619,26689269,56357545,10968805,182554.60
106,公立,一般大學,0019,國立高雄大學,235,104380427,79301579,17622848,7456000,444172.03
106,公立,一般大學,0020,國立東華大學,492,114678534,63469810,39031733,12176991,233086.45
106,公立,一般大學,0021,國立暨南國際大學,268,124086749,116205442,3279768,4601539,463010.26
106,公立,技專校院,0022,國立臺灣科技大學,458,308418622,34033470,219960856,54424296,673403.10
106,公立,技專校院,0023,國立雲林科技大學,365,385972497,294767403,70223898,20981196,1057458.90
106,公立,技專校院,0024,國立屏東科技大學,398,260058886,101817914,139970568,18270404,653414.29
