學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),5,2,3
105,1,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),4,3,1
105,1,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),6,6,0
105,1,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),3,2,1
105,1,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),13,1,12
105,1,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),12,1,11
105,1,公立,一般大學,0008,國立中央大學,02322006,中國文學系,學士班(日間),7,0,7
105,1,公立,一般大學,0008,國立中央大學,03111013,經濟學系,學士班(日間),11,4,7
105,1,公立,一般大學,0008,國立中央大學,03199020,客家語文暨社會科學學系,學士班(日間),4,0,4
105,1,公立,一般大學,0008,國立中央大學,04121024,財務金融學系,學士班(日間),3,0,3
105,1,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,學士班(日間),22,9,13
105,1,公立,一般大學,0008,國立中央大學,05111031,生命科學系,學士班(日間),4,4,0
105,1,公立,一般大學,0008,國立中央大學,05311035,化學學系,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,05321036,地球科學學系,學士班(日間),3,2,1
105,1,公立,一般大學,0008,國立中央大學,05322044,大氣科學學系,學士班(日間),5,5,0
105,1,公立,一般大學,0008,國立中央大學,05331042,物理學系,學士班(日間),3,3,0
105,1,公立,一般大學,0008,國立中央大學,05411051,數學系,學士班(日間),17,14,3
105,1,公立,一般大學,0008,國立中央大學,06131053,資訊管理學系,學士班(日間),26,13,13
105,1,公立,一般大學,0008,國立中央大學,07141055,電機工程學系,學士班(日間),2,1,1
105,1,公立,一般大學,0008,國立中央大學,07141060,通訊工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,學士班(日間),4,1,3
105,1,公立,一般大學,0009,國立中山大學,02311006,外國語文學系,學士班(日間),10,0,10
105,1,公立,一般大學,0009,國立中山大學,02322005,中國文學系,學士班(日間),12,2,10
105,1,公立,一般大學,0009,國立中山大學,03141013,社會學系,學士班(日間),10,3,7
105,1,公立,一般大學,0009,國立中山大學,04121024,財務管理學系,學士班(日間),1,0,1
105,1,公立,一般大學,0009,國立中山大學,04131021,企業管理學系,學士班(日間),2,0,2
105,1,公立,一般大學,0009,國立中山大學,04134010,政治經濟學系,學士班(日間),8,6,2
105,1,公立,一般大學,0009,國立中山大學,05111033,生物科學系,學士班(日間),4,2,2
105,1,公立,一般大學,0009,國立中山大學,05323044,海洋生物科技暨資源學系,學士班(日間),1,0,1
105,1,公立,一般大學,0009,國立中山大學,05331038,物理學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,05411051,應用數學系,學士班(日間),4,1,3
105,1,公立,一般大學,0009,國立中山大學,06131052,資訊管理學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07122065,海洋環境及工程學系,學士班(日間),2,2,0
