學年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,營運能力-現金餘絀變動率燈號,營運能力-現金餘絀變動率(%)數值,營運能力-本期餘絀比率燈號,營運能力-本期餘絀比率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,償債能力-可用資金比率燈號,償債能力-可用資金比率(%)數值,財務結構-負債權益比率燈號,財務結構-負債權益比率(%)數值,其他-舉債指數
105,私立,技專校院,1291,聖母醫護管理專科學校,●,-2.69,●,4.41,●,15.36,●,98.35,●,465.37,●,184.11,●,16.89,0
105,私立,技專校院,1292,新生醫護管理專科學校,●,0.66,●,-1.15,●,15.54,●,56.60,●,117.59,●,25.48,●,17.28,0
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,●,-33.19,●,-20.41,●,4.52,●,-9.36,●,706.35,●,47.48,●,0.06,0
105,私立,宗教研修學院,1R03,臺北基督學院,●,-7.40,●,-15.54,●,6.69,●,-63.96,●,442.81,●,77.55,●,22.21,0
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,●,103.03,●,-10.84,●,2.35,●,-4.98,●,152.12,●,11.36,●,81.26,0
105,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,●,0,●,-1.49,●,2.45,●,30.22,●,77.12,●,-2.08,●,3.95,0
105,私立,宗教研修學院,1R06,一貫道崇德學院,●,0,●,-6.24,●,80.36,●,103.99,●,218.72,●,797.35,●,4604.55,0
106,私立,一般大學,1001,東海大學,●,-1.64,●,-1.58,●,5.08,●,59.04,●,496.26,●,117.99,●,8.90,0
106,私立,一般大學,1002,輔仁大學,●,-1.55,●,0.98,●,0.34,●,-293.82,●,765.44,●,169.45,●,39.81,0
106,私立,一般大學,1003,東吳大學,●,-0.11,●,-2.61,●,2.11,●,21.24,●,376,●,111.95,●,9.03,0
106,私立,一般大學,1004,中原大學,●,0.38,●,4.04,●,6.39,●,70.75,●,289.83,●,69.45,●,8.09,0
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,●,-1.44,●,5.56,●,4.12,●,37.54,●,70.55,●,-1.42,●,28.73,0
106,私立,一般大學,1006,中國文化大學,●,-2.15,●,-2.24,●,-1.94,●,4.25,●,821.65,●,142.18,●,4.37,0
106,私立,一般大學,1007,逢甲大學,●,0.66,●,0.06,●,6.31,●,35.28,●,201.44,●,55.08,●,45.86,1.71
106,私立,一般大學,1008,靜宜大學,●,-1.50,●,-5.40,●,2.95,●,35.77,●,1024.61,●,243.61,●,4.35,0
106,私立,一般大學,1009,長庚大學,●,-1.93,●,5.11,●,21.97,●,144.30,●,1096.18,●,285.18,●,3.27,0
106,私立,一般大學,1010,元智大學,●,-2.74,●,2,●,3.71,●,34.38,●,259.91,●,74.86,●,4.47,0
106,私立,一般大學,1011,中華大學學校財團法人中華大學,●,-14.83,●,-3.42,●,0.07,●,-8.12,●,256.15,●,56.23,●,9.83,0
106,私立,一般大學,1012,大葉大學,●,-5.43,●,-4.75,●,1.43,●,46.84,●,676.49,●,161.64,●,6.78,0
106,私立,一般大學,1013,華梵大學,●,-20.38,●,12,●,-29.12,●,-43.71,●,500.84,●,100.86,●,2.41,0
106,私立,一般大學,1014,義守大學,●,-1.66,●,-3.25,●,10.37,●,64.32,●,158.42,●,47.25,●,8.86,0
106,私立,一般大學,1015,世新大學,●,-1.67,●,2.77,●,9.55,●,158.15,●,411.42,●,104.05,●,4.03,0
106,私立,一般大學,1016,銘傳大學,●,-1.04,●,1.27,●,6.48,●,86.80,●,705.90,●,95.82,●,4,0
106,私立,一般大學,1017,實踐大學,●,-5.20,●,-0.97,●,6.52,●,46.80,●,231.72,●,88.05,●,10.77,0
106,私立,技專校院,1018,朝陽科技大學,●,-3.77,●,-2.26,●,12.66,●,58.06,●,409.35,●,139.51,●,7.64,0
106,私立,一般大學,1019,高雄醫學大學,●,-0.05,●,1.52,●,20.17,●,139.65,●,217.02,●,87.29,●,4.50,0
106,私立,一般大學,1020,南華大學,●,-1.54,●,-3.77,●,0.34,●,26.25,●,220.30,●,41.45,●,4.58,0
106,私立,一般大學,1021,真理大學,●,-12.76,●,-2.45,●,-0.06,●,46.90,●,58.48,●,-6.17,●,17.85,4.14
106,私立,一般大學,1022,大同大學,●,-3.07,●,5.48,●,4.88,●,61,●,174.09,●,60.15,●,3.57,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,●,-1.08,●,2.14,●,8.33,●,141,●,550.65,●,102.28,●,4.87,0
106,私立,技專校院,1024,崑山科技大學,●,-4.37,●,0.48,●,4.45,●,107.67,●,272.36,●,68.81,●,17.80,0
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,●,-5.32,●,1.32,●,10.28,●,188.82,●,189.83,●,25.69,●,10.29,1.08
106,私立,技專校院,1026,樹德科技大學,●,-2.61,●,-3.85,●,0.25,●,21.41,●,547.35,●,131.85,●,9.25,0
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,●,-0.87,●,-20.47,●,11.02,●,4.39,●,1426.57,●,532,●,2.50,0
106,私立,一般大學,1028,臺北醫學大學,●,3.21,●,3.85,●,13.19,●,115.09,●,91.34,●,15.14,●,59.45,-3.29
106,私立,一般大學,1029,中山醫學大學,●,-1.68,●,2.44,●,19.60,●,58.86,●,29.90,●,-30.54,●,58.04,23.54
106,私立,技專校院,1030,龍華科技大學,●,0.52,●,-2,●,13.09,●,127.20,●,1629.67,●,456.68,●,4.20,0
106,私立,技專校院,1031,輔英科技大學,●,-1.53,●,-6.20,●,8.19,●,34.83,●,592.75,●,173.55,●,5.80,0
106,私立,技專校院,1032,明新學校財團法人明新科技大學,●,-4.32,●,-2.82,●,2.23,●,24.90,●,257.67,●,60.04,●,16.24,0
106,私立,一般大學,1033,長榮大學,●,-6.57,●,-4.40,●,0.78,●,30.70,●,608.27,●,106.41,●,4.90,0
106,私立,技專校院,1034,弘光科技大學,●,-1.47,●,2.55,●,8.07,●,69.34,●,446.66,●,130.98,●,11.90,0
106,私立,一般大學,1035,中國醫藥大學,●,0.40,●,-8.53,●,52.14,●,470.19,●,100.15,●,8.09,●,5.59,0
106,私立,技專校院,1036,健行學校財團法人健行科技大學,●,-3.06,●,-0.06,●,6.20,●,3.53,●,383.38,●,82.05,●,4,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,●,-4.49,●,-2.92,●,4.93,●,45.03,●,363.81,●,63.80,●,5.29,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,●,-2.57,●,7.55,●,9.37,●,131.33,●,636.83,●,171.14,●,8.85,0
106,私立,一般大學,1039,玄奘大學,●,-14.90,●,11.63,●,-0.78,●,42.65,●,596.50,●,187.75,●,4.50,0
106,私立,技專校院,1040,建國科技大學,●,-11.54,●,-0.48,●,-7.10,●,-8.42,●,86.80,●,13.06,●,9.27,0
106,私立,技專校院,1041,明志科技大學,●,-1.10,●,12.12,●,50.48,●,290.17,●,2182.92,●,1241.27,●,1.71,0
106,私立,技專校院,1042,高苑科技大學,●,-19.38,●,-15.06,●,-10.87,●,-74.61,●,496.43,●,100.43,●,5.03,0
106,私立,技專校院,1043,大仁科技大學,●,-7.25,●,4.11,●,-7.74,●,16.25,●,222.55,●,55.71,●,8.48,0
106,私立,技專校院,1044,聖約翰科技大學,●,-16.47,●,1.51,●,-22.63,●,-99.51,●,663.42,●,120.69,●,4.01,0
106,私立,技專校院,1045,嶺東科技大學,●,-1.99,●,-4.68,●,11.29,●,84.98,●,1352.77,●,357.17,●,9.44,0
106,私立,技專校院,1046,中國科技大學,●,-6.69,●,-8.71,●,10.22,●,76.63,●,779.13,●,178.12,●,5.45,0
106,私立,技專校院,1047,中臺科技大學,●,-4.88,●,-0.68,●,6.77,●,78.87,●,634.11,●,141.08,●,6.21,0
106,私立,一般大學,1048,亞洲大學,●,-0.87,●,2,●,16.57,●,61.51,●,74.71,●,9.14,●,27.50,1.85
106,私立,一般大學,1049,開南大學,●,-12.80,●,-1.69,●,5.32,●,26.40,●,142.66,●,37.24,●,13.20,0
106,私立,一般大學,1050,佛光大學,●,4.27,●,9.57,●,-7.94,●,13.98,●,81.78,●,20.31,●,4.15,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,●,-0.73,●,-3.45,●,16.06,●,124.82,●,1105.41,●,341.85,●,4.32,0
106,私立,技專校院,1052,遠東科技大學,●,-15.56,●,-0.25,●,-6.94,●,16.53,●,205.76,●,54.54,●,8.74,0
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,●,-8.60,●,0.38,●,3.46,●,53.88,●,789.27,●,237.07,●,6.02,0
106,私立,技專校院,1054,景文科技大學,●,-5.08,●,3.54,●,9.06,●,52.57,●,551.63,●,167.29,●,6.85,0
106,私立,技專校院,1055,中華醫事科技大學,●,-2.19,●,-0.22,●,7.25,●,92.44,●,282.54,●,58.59,●,6.30,0
106,私立,技專校院,1056,東南科技大學,●,-9.38,●,-4.94,●,-5.67,●,-29.27,●,768.24,●,131.17,●,4.53,0
106,私立,技專校院,1057,德明財經科技大學,●,-5.22,●,-9.72,●,15.92,●,134.11,●,2177.80,●,494.36,●,2.78,0
106,私立,一般大學,1058,明道學校財團法人明道大學,●,-10.91,●,-3.46,●,3.98,●,22.31,●,114.40,●,24.24,●,17.73,0
106,私立,技專校院,1060,南開科技大學,●,-11.24,●,-3.29,●,-6.13,●,-10.04,●,679.90,●,154.09,●,5.92,0
106,私立,技專校院,1061,中華學校財團法人中華科技大學,●,-13.87,●,-3.08,●,0.02,●,-3.98,●,41.39,●,-7.02,●,10.79,-15.78
106,私立,技專校院,1062,僑光科技大學,●,1.03,●,7.19,●,21.12,●,219.17,●,1417.53,●,359.26,●,3.11,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,●,-7.92,●,6.90,●,-8.80,●,-35.55,●,808.75,●,196.66,●,3.42,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,●,-6.29,●,0,●,-3.16,●,40.83,●,338.63,●,78.95,●,7.76,0
106,私立,技專校院,1065,吳鳳科技大學,●,-8.57,●,-3.40,●,-3.76,●,58.31,●,560.84,●,88.05,●,2.63,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,●,-8.39,●,-10.57,●,-13.43,●,-47.63,●,110.78,●,14.12,●,10.04,0
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,●,-16.03,●,-12.92,●,-17.65,●,-89.53,●,379.32,●,47.87,●,1.58,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,●,-19.88,●,2.22,●,-10.25,●,-3.79,●,383.55,●,81.97,●,8.08,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,●,-14.23,●,-9.37,●,-1.19,●,4.17,●,367.99,●,77.54,●,7.86,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,●,-0.16,●,13.03,●,29.71,●,244.43,●,1143.82,●,393.27,●,2.22,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,●,-3.63,●,2.22,●,16.52,●,211.56,●,1242.61,●,272.84,●,21.91,0
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,●,-18.76,●,6.38,●,-0.84,●,36.34,●,126.65,●,16.05,●,16.51,9.49
