學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0007,國立陽明交通大學,05121030,分子醫學與生物工程研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,4,4,0,2,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,05331040,物理研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,4,4,0,3,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,3,3,0,1,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,06131061,資訊科學與工程研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,4,4,0,2,0,0,0,2,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07141053,電子研究所,2,2,0,0,0,2,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,1,0,1,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07141062,電信工程研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07141066,國際半導體產業學院,2,2,0,0,0,0,0,2,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07193077,生醫工程研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,99999Z01,通識教育中心,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,99999Z08,語言教學與研究中心,2,1,1,0,0,0,0,0,0,1,1,0,0
106,公立,一般大學,0008,國立中央大學,01115001,學習與教學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,02221010,歷史研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,4,3,1,2,1,0,0,1,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,4,4,0,0,0,1,0,2,0,1,0,0,0
106,公立,一般大學,0008,國立中央大學,02322006,中國文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,03131017,認知神經科學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05321036,地球科學學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05321039,水文與海洋科學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05331042,物理學系,3,3,0,1,0,2,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05332045,天文研究所,3,3,0,0,0,1,0,2,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05411051,數學系,2,2,0,2,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,05421052,統計研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,06131053,資訊管理學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,07111069,化學工程與材料工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,07193074,生醫科學與工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,02151002,音樂學系,1,0,1,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,02231008,哲學研究所,2,2,0,1,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,02311006,外國語文學系,2,2,0,1,0,0,0,0,0,1,0,0,0
106,公立,一般大學,0009,國立中山大學,03121011,政治學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,03122019,亞太事務英語碩士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0009,國立中山大學,04131021,企業管理學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,04191028,人力資源管理研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,05311037,化學系,1,1,0,0,0,1,0,0,0,0,0,0,0
