學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,334359,63.69,91275,17.39,55067,10.49,2432,0.46,19222,3.66,11782,2.24,0,0,0,0,10875,2.07,525010,100
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,303227,46.12,156959,23.87,88829,13.51,16517,2.51,73870,11.24,11139,1.69,0,0,0,0,6948,1.06,657489,100
105,私立,技專校院,1078,致理學校財團法人致理科技大學,596042,60.92,198683,20.31,102678,10.49,11005,1.12,32019,3.27,27786,2.84,0,0,0,0,10240,1.05,978453,100
105,私立,一般大學,1079,康寧學校財團法人康寧大學,280301,46.07,132370,21.76,124925,20.53,32324,5.31,14088,2.32,8983,1.48,168,0.03,0,0,15260,2.51,608418,100
105,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,370664,65.68,108482,19.22,54487,9.65,4197,0.74,12968,2.30,11456,2.03,0,0,0,0,2090,0.37,564343,100
105,私立,技專校院,1081,東方學校財團法人東方設計大學,284247,53.10,141219,26.38,59077,11.04,13299,2.48,7896,1.47,17599,3.29,16,0,0,0,11998,2.24,535349,100
105,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,200172,52.33,100780,26.35,49536,12.95,8740,2.28,15057,3.94,5660,1.48,1077,0.28,0,0,1497,0.39,382520,100
105,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,300089,52.63,132294,23.20,88255,15.48,6242,1.09,18518,3.25,15345,2.69,6223,1.09,0,0,3204,0.56,570169,100
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,88188,41.21,68477,32,26024,12.16,10574,4.94,12052,5.63,4309,2.01,0,0,0,0,4358,2.04,213981,100
105,私立,技專校院,1148,大漢技術學院,92436,48.79,41626,21.97,35884,18.94,3524,1.86,8881,4.69,3913,2.07,0,0,0,0,3176,1.68,189441,100
105,私立,技專校院,1159,和春技術學院,149434,44.26,76811,22.75,81779,24.22,398,0.12,17143,5.08,5565,1.65,0,0,0,0,6505,1.93,337634,100
105,私立,技專校院,1166,亞東技術學院,353816,49.77,155208,21.83,116805,16.43,10389,1.46,13581,1.91,49307,6.94,0,0,0,0,11810,1.66,710917,100
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,306348,55.89,97030,17.70,71185,12.99,15101,2.76,12431,2.27,28894,5.27,1777,0.32,0,0,15315,2.79,548083,100
105,私立,一般大學,1176,稻江科技暨管理學院,125232,43.55,74110,25.77,31658,11.01,27497,9.56,16663,5.79,6280,2.18,0,0,0,0,6129,2.13,287568,100
105,私立,技專校院,1182,蘭陽技術學院,152159,52.26,43433,14.92,59517,20.44,4911,1.69,12282,4.22,7219,2.48,194,0.07,0,0,11448,3.93,291162,100
105,私立,技專校院,1183,黎明技術學院,276736,57.84,72464,15.15,68158,14.25,23904,5,14063,2.94,8295,1.73,849,0.18,0,0,13987,2.92,478457,100
105,私立,技專校院,1185,經國管理暨健康學院,271603,53.69,96235,19.02,83753,16.56,4420,0.87,17087,3.38,13362,2.64,1444,0.29,0,0,17958,3.55,505863,100
105,私立,技專校院,1188,大同技術學院,135040,46.67,65506,22.64,35674,12.33,31093,10.75,10531,3.64,5526,1.91,0,0,0,0,5987,2.07,289357,100
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,110654,44.63,44094,17.78,36347,14.66,1858,0.75,3595,1.45,2175,0.88,730,0.29,0,0,48496,19.56,247948,100
105,私立,技專校院,1192,臺灣觀光學院,88253,49.99,37573,21.28,33372,18.90,1262,0.71,2841,1.61,6760,3.83,0,0,0,0,6487,3.67,176547,100
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,217611,46.32,120327,25.61,109236,23.25,2347,0.50,1659,0.35,16589,3.53,0,0,0,0,1991,0.42,469759,100
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,74244,43.13,41893,24.33,38615,22.43,10484,6.09,1464,0.85,5364,3.12,0,0,0,0,92,0.05,172154,100
