,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,博士班,1,0,1
,101,公立,一般大學,3,國立臺灣大學,220320,日本語文學系,學士班(日間),47,8,39
,101,公立,一般大學,3,國立臺灣大學,220320,日本語文學系,碩士班(日間),11,4,7
,101,公立,一般大學,3,國立臺灣大學,220701,語言學研究所,碩士班(日間),9,7,2
,101,公立,一般大學,3,國立臺灣大學,220701,語言學研究所,博士班,1,0,1
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,學士班(日間),54,17,37
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,碩士班(日間),20,12,8
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,博士班,3,2,1
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,學士班(日間),20,2,18
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,碩士班(日間),11,6,5
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,學士班(日間),36,18,18
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,碩士班(日間),9,5,4
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,博士班,2,1,1
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,學士班(日間),136,67,69
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,碩士班(日間),38,26,12
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,碩士在職專班,29,17,12
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,博士班,5,2,3
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系公共行政組,學士班(日間),59,22,37
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系政治理論組,學士班(日間),37,18,19
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系國際關係組,學士班(日間),65,25,40
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,碩士班(日間),41,16,25
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,碩士在職專班,27,13,14
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,博士班,4,3,1
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,學士班(日間),45,11,34
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,碩士班(日間),12,7,5
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,博士班,2,0,2
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系,學士班(日間),68,32,36
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系一般心理學組,碩士班(日間),20,10,10
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系臨床心理學組,碩士班(日間),12,4,8
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系一般心理學組,博士班,4,2,2
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系臨床心理學組,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,學士班(日間),31,19,12
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,碩士班(日間),21,12,9
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,碩士在職專班,3,1,2
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,博士班,2,1,1
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,碩士班(日間),50,24,26
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,碩士在職專班,25,13,12
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,博士班,3,3,0
,101,公立,一般大學,3,國立臺灣大學,320201,新聞研究所,碩士班(日間),21,7,14
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,學士班(日間),45,13,32
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,碩士班(日間),25,2,23
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,碩士在職專班,3,0,3
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340101,商學研究所,碩士班(日間),56,19,37
,101,公立,一般大學,3,國立臺灣大學,340101,商學研究所,博士班,5,3,2
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,學士班(日間),117,34,83
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,碩士班(日間),47,19,28
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,博士班,7,2,5
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系企業管理組,學士班(日間),58,16,42
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系科技管理組,學士班(日間),50,31,19
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,學士班(日間),81,39,42
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,碩士班(日間),59,25,34
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,博士班,9,5,4
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,學士班(日間),104,44,60
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,碩士班(日間),52,29,23
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,博士班,6,4,2
,101,公立,一般大學,3,國立臺灣大學,349939,管理學院企業管理碩士專班,碩士班(日間),43,27,16
,101,公立,一般大學,3,國立臺灣大學,349939,管理學院財務金融組,碩士在職專班,19,13,6
,101,公立,一般大學,3,國立臺灣大學,349939,管理學院高階公共管理組,碩士在職專班,2,2,0
