學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
106,私立,技專校院,1285,慈惠醫護管理專科學校,319678,97442,-52697,386,0,45131
106,私立,技專校院,1286,耕莘健康管理專科學校,410014,162768,-44449,-70817,0,47502
106,私立,技專校院,1287,敏惠醫護管理專科學校,200372,92516,-53205,-8889,0,30422
106,私立,技專校院,1288,高美醫護管理專科學校,-2877,-6057,-5469,-62,0,-11588
106,私立,技專校院,1289,育英醫護管理專科學校,167634,37101,-24396,570,0,13275
106,私立,技專校院,1290,崇仁醫護管理專科學校,323380,113235,-51341,-2272,0,59622
106,私立,技專校院,1291,聖母醫護管理專科學校,303876,57720,-63154,-17373,0,-22807
106,私立,技專校院,1292,新生醫護管理專科學校,143058,151894,-80039,-42503,0,29352
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,8416,3516,-2204,11,0,1323
106,私立,宗教研修學院,1R03,臺北基督學院,31862,2573,-2759,743,0,557
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,5859,7632,-2693,15,0,4954
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,2222,3884,-3299,-83,0,502
106,私立,宗教研修學院,1R06,一貫道崇德學院,74986,18629,-5742,-43,0,12844
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,-105,667,-544,14,0,137
107,私立,一般大學,1001,東海大學,1900190,366164,-258716,5440,132,113019
107,私立,一般大學,1002,輔仁大學,3507242,621207,-1279261,653780,0,-4273
107,私立,一般大學,1003,東吳大學,1386900,215770,-374671,-25053,0,-183954
107,私立,一般大學,1004,中原大學,1081951,451378,-456852,2393,0,-3080
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,150108,413928,-320095,-14745,0,79088
107,私立,一般大學,1006,中國文化大學,2999236,428348,-418357,-39624,0,-29632
107,私立,一般大學,1007,逢甲大學,1667938,611983,-80714,-29508,0,501761
107,私立,一般大學,1008,靜宜大學,2307686,122500,-194420,-4807,0,-76728
107,私立,一般大學,1009,長庚大學,6711352,1573873,-1059441,191,0,514622
107,私立,一般大學,1010,元智大學,832043,239026,-291524,955,0,-51543
107,私立,一般大學,1011,中華大學學校財團法人中華大學,667452,87260,187024,6,0,274290
107,私立,一般大學,1012,大葉大學,1469897,157074,-75149,-7125,0,74800
107,私立,一般大學,1013,華梵大學,187482,-19807,-59807,-687,0,-80301
107,私立,一般大學,1014,義守大學,891032,457772,-153733,2533,0,306572
107,私立,一般大學,1015,世新大學,741085,383901,-370477,2908,0,16332
107,私立,一般大學,1016,銘傳大學,1640614,270724,-138192,-6358,108,126282
107,私立,一般大學,1017,實踐大學,1065721,173981,-66930,7115,0,114166
107,私立,技專校院,1018,朝陽科技大學,1615179,326804,-259720,25567,0,92651
107,私立,一般大學,1019,高雄醫學大學,1463868,-519689,761708,-4014,0,238005
107,私立,一般大學,1020,南華大學,276892,86239,-50885,-2366,0,32988
107,私立,一般大學,1021,真理大學,-19634,106715,-30916,-62359,0,13440
107,私立,一般大學,1022,大同大學,343806,155851,-68674,-1105,0,86073
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1377953,492242,-409062,-1374,0,81806
107,私立,技專校院,1024,崑山科技大學,578913,338974,-275667,849,0,64156
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,80623,418863,-432850,-35308,0,-49295
107,私立,技專校院,1026,樹德科技大學,912565,168089,-122735,4022,0,49377
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,4366832,568509,31662,-6336,0,593835
107,私立,一般大學,1028,臺北醫學大學,223083,-612935,641082,-44991,0,-16845
107,私立,一般大學,1029,中山醫學大學,-237200,130727,-280565,208314,0,58475
107,私立,技專校院,1030,龍華科技大學,2701511,358762,-342607,88517,0,104672
107,私立,技專校院,1031,輔英科技大學,1183456,190377,-154826,489,0,36040
107,私立,技專校院,1032,明新學校財團法人明新科技大學,568115,172192,-136064,-26773,0,9355
107,私立,一般大學,1033,長榮大學,865376,57445,-83609,-4995,0,-31159
107,私立,技專校院,1034,弘光科技大學,608079,254719,-747532,508,0,-492305
107,私立,一般大學,1035,中國醫藥大學,106366,-181893,49281,12470,0,-120142
107,私立,技專校院,1036,健行學校財團法人健行科技大學,639595,206597,-141789,-2300,0,62508
107,私立,技專校院,1037,正修學校財團法人正修科技大學,793132,385852,-325315,-25150,0,35387
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,968612,202215,-134693,2473,0,69995
107,私立,一般大學,1039,玄奘大學,611658,58669,-52992,-7388,0,-1711
107,私立,技專校院,1040,建國科技大學,20489,27492,-97156,-4303,0,-73966
107,私立,技專校院,1041,明志科技大學,6689354,838600,-446972,-4369,0,387259
107,私立,技專校院,1042,高苑科技大學,346559,-123729,-38770,-663,0,-163162
107,私立,技專校院,1043,大仁科技大學,266239,37997,-36173,3333,0,5157
107,私立,技專校院,1044,聖約翰科技大學,332282,-46327,-47893,32,0,-94188
107,私立,技專校院,1045,嶺東科技大學,2195447,292227,-265423,-9259,0,17544
107,私立,技專校院,1046,中國科技大學,1342002,219780,-79398,-458,0,139924
107,私立,技專校院,1047,中臺科技大學,884200,144282,-114175,-12321,0,17786
107,私立,一般大學,1048,亞洲大學,344231,391650,228025,-426588,0,193088
107,私立,一般大學,1049,開南大學,235503,87686,-35569,-18511,0,33606
107,私立,一般大學,1050,佛光大學,74942,42797,-52130,3029,0,-6304
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,2685642,355639,-132657,1220,0,224202
107,私立,技專校院,1052,遠東科技大學,241641,45593,-70354,1041,0,-23720
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,1057924,52140,-107922,-528,0,-56310
107,私立,技專校院,1054,景文科技大學,795337,131392,-71678,128,0,59842
107,私立,技專校院,1055,中華醫事科技大學,407634,142517,-55180,-4121,0,83215
107,私立,技專校院,1056,東南科技大學,592941,75378,-63304,161,0,12236
107,私立,技專校院,1057,德明財經科技大學,2742234,209752,131901,1099,0,342753
107,私立,一般大學,1058,明道學校財團法人明道大學,86272,64071,-45467,-19376,0,-771
107,私立,技專校院,1060,南開科技大學,572997,1511,-40271,4277,0,-34483
107,私立,技專校院,1061,中華學校財團法人中華科技大學,30149,115456,-71359,-14712,0,29385
107,私立,技專校院,1062,僑光科技大學,1908652,377610,-95631,-5341,0,276638
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,599900,53496,-38225,-1405,0,13866
107,私立,技專校院,1064,美和學校財團法人美和科技大學,383222,80025,-53136,-3810,0,23079
107,私立,技專校院,1065,吳鳳科技大學,336774,77565,-56368,333,0,21530
107,私立,技專校院,1066,環球學校財團法人環球科技大學,11149,-8031,-32109,-3759,0,-43900
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,56748,-19529,-17821,307,0,-37043
107,私立,技專校院,1068,中州學校財團法人中州科技大學,179680,45668,-8264,-3386,0,34017
107,私立,技專校院,1069,修平學校財團法人修平科技大學,291241,53890,-97557,-17344,0,-61010
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,3054351,990306,-440092,-6479,0,543735
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,1652956,312392,-118388,-849,0,193155
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,-24054,82655,-9662,-2405,0,70589
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,451390,97092,-112992,9,0,-15892
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,970427,167427,-171658,-375,0,-4606
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,228281,19237,-45133,2717,0,-23179
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,207013,151794,-140897,392,0,11288
107,私立,技專校院,1078,致理學校財團法人致理科技大學,1180562,197303,-215373,11456,0,-6614
107,私立,一般大學,1079,康寧學校財團法人康寧大學,96261,993,-37444,-2115,0,-38565
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,1695964,128190,-108245,271,0,20216
107,私立,技專校院,1081,東方學校財團法人東方設計大學,113524,-6204,-20330,-3334,0,-29869
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,166052,-7140,-40303,-19834,0,-67277
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,96700,138798,-72114,-98470,0,-31786
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,63155,21261,-36339,-66,0,-15145
107,私立,技專校院,1148,大漢技術學院,171036,-9652,-9947,-2119,0,-21718
107,私立,技專校院,1159,和春技術學院,175021,-55932,-7300,-663,0,-63895
107,私立,技專校院,1166,亞東技術學院,5277930,369179,-94728,-2160,0,272291
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,81578,3818,-19034,-7522,0,-22738
107,私立,一般大學,1176,稻江科技暨管理學院,81053,19582,-17514,-87,0,1981
107,私立,技專校院,1182,蘭陽技術學院,68958,21460,-4565,-3064,0,13831
107,私立,技專校院,1183,黎明技術學院,107805,44511,-50491,-14566,0,-20547
107,私立,技專校院,1185,經國管理暨健康學院,244159,51390,-45804,-7647,0,-2060
107,私立,技專校院,1188,大同技術學院,71866,39075,-17920,497,0,21653
107,私立,技專校院,1192,臺灣觀光學院,13496,-21352,-5785,-10542,0,-37679
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,1404666,356580,-43844,-871,0,311865
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,171285,36574,-12155,-171,0,24248
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,434628,307249,-295354,-7182,0,4713
107,私立,技專校院,1283,仁德醫護管理專科學校,333099,149875,-31382,-22692,0,95801
107,私立,技專校院,1284,樹人醫護管理專科學校,774204,143259,-78590,-2559,0,62110
107,私立,技專校院,1285,慈惠醫護管理專科學校,375088,96374,-44717,-1783,0,49874
107,私立,技專校院,1286,耕莘健康管理專科學校,450772,138895,-54634,-54202,0,30060
107,私立,技專校院,1287,敏惠醫護管理專科學校,231545,85378,-56213,-6180,0,22985
107,私立,技專校院,1289,育英醫護管理專科學校,193521,57326,-32569,-398,0,24358
107,私立,技專校院,1291,聖母醫護管理專科學校,312466,48533,-33265,-15593,0,-325
107,私立,技專校院,1292,新生醫護管理專科學校,182430,108560,-60670,-22786,0,25104
107,私立,技專校院,1293,崇仁醫護管理專科學校,382957,99113,-39379,1184,0,60919
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,9530,3152,-2033,5,0,1124
107,私立,宗教研修學院,1R03,臺北基督學院,35150,5794,-2962,817,0,3649
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9095,4710,-2318,103,0,2495
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,-471,1300,-3031,-153,0,-1884
107,私立,宗教研修學院,1R06,一貫道崇德學院,140644,75400,-13071,0,0,62328
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,320,937,-576,12,0,373
108,私立,一般大學,1001,東海大學,1955093,198110,-846005,-5499,-569,-653964
108,私立,一般大學,1002,輔仁大學,3801025,390797,-653473,344734,0,82058
108,私立,一般大學,1003,東吳大學,1213220,87886,-252957,-2022,0,-167092
108,私立,一般大學,1004,中原大學,866209,307500,-573417,7952,0,-257965
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,348012,321059,-199462,-31548,0,90050
108,私立,一般大學,1006,中國文化大學,3111260,330381,-243471,-12389,0,74521
108,私立,一般大學,1007,逢甲大學,2185465,691950,-574849,222427,0,339528
108,私立,一般大學,1008,靜宜大學,2107768,105467,-638217,103955,0,-428796
108,私立,一般大學,1009,長庚大學,5914389,1241782,-1151560,-5257,0,84964
108,私立,一般大學,1010,元智大學,845589,566570,-517736,-1274,0,47560
108,私立,一般大學,1011,中華大學學校財團法人中華大學,505023,72221,-196564,-6468,0,-130812
108,私立,一般大學,1012,大葉大學,1551620,150662,-87406,-7780,0,55477
108,私立,一般大學,1013,華梵大學,229029,-44454,76292,-6261,0,25577
108,私立,一般大學,1014,義守大學,1003353,250838,-185020,550,0,66368
108,私立,一般大學,1015,世新大學,818778,356827,-278776,5100,0,83152
