,學年度,學校代碼,學校名稱,"機械儀器
及設備",圖書及博物,無形資產,"土地及
土地改良物",房屋及建築,"其他動產
及不動產",合計
,103,1183,黎明技術學院,39939,1187,4120,1253,22423,7627,76549
,103,1184,東方設計學院,17418,5015,2441,-,7126,3004,35005
,103,1185,經國管理暨健康學院,19741,2985,1963,-,170276,3607,198572
,103,1187,崇右技術學院,7650,2068,631,-,12126,6561,29036
,103,1188,大同技術學院,4690,698,464,-,-,3825,9676
,103,1189,亞太創意技術學院,13998,1175,3133,-,944,6877,26127
,103,1192,臺灣觀光學院,12390,1296,2256,-,-,7054,22996
,103,1195,馬偕醫學院,22801,8480,2226,2840,3467,5573,45387
,103,1196,法鼓文理學院,2712,5368,311,-,-,1069,9460
,103,1197,台北海洋技術學院,23645,2615,1098,-,31298,26511,85167
,103,1281,康寧醫護暨管理專科學校,23350,2750,4376,-,-,991,31467
,103,1282,馬偕醫護管理專科學校,23070,4200,4744,-,-,6412,38426
,103,1283,仁德醫護管理專科學校,15047,563,1300,-,49858,7583,74351
,103,1284,樹人醫護管理專科學校,18786,3124,6603,-,27931,3295,59737
,103,1285,慈惠醫護管理專科學校,32412,2300,1110,12763,50,450,49085
,103,1286,耕莘健康管理專科學校,22318,2936,2334,-,18886,15950,62424
,103,1287,敏惠醫護管理專科學校,15746,5800,3881,78,5240,21901,52647
,103,1288,高美醫護管理專科學校,8041,595,913,-,63630,1966,75145
,103,1289,育英醫護管理專科學校,12002,2033,4950,3615,36360,5734,64693
,103,1290,崇仁醫護管理專科學校,10966,2649,1783,-,5914,6352,27664
,103,1291,聖母醫護管理專科學校,19721,1125,5387,-,1370,2358,29961
,103,1292,新生醫護管理專科學校,20856,1600,2283,-,9781,8105,42625
,103,1R02,基督教台灣浸會神學院,310,1479,47,-,-,283,2120
,103,1R03,臺北基督學院,1319,428,450,-,-,601,2798
,104,1001,東海大學,91424,47245,19897,5855,36416,59586,260424
,104,1002,輔仁大學,155834,71058,24816,21376,117838,9774,400697
,104,1003,東吳大學,50719,24398,9508,12360,67892,29784,194661
,104,1004,中原大學,101923,45807,14470,-,256529,88276,507004
,104,1005,淡江大學,165974,97397,10866,-,195794,1094,471125
,104,1006,中國文化大學,224195,67464,9024,-,59043,2811,362537
