學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,55,19,36,10,20,7,9,1,6,0,0,1,1,53,18,35,53,18,35
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,8,2,6,0,1,1,3,1,1,0,0,0,1,7,2,5,7,2,5
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,42,30,12,14,9,6,2,10,1,0,0,0,0,42,30,12,42,30,12
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,25,20,5,13,1,4,2,3,2,0,0,0,0,25,20,5,25,20,5
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,24,13,11,9,6,2,4,2,1,0,0,0,0,24,13,11,24,13,11
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,20,12,8,7,4,1,2,4,2,0,0,0,0,20,12,8,20,12,8
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,19,16,3,9,3,3,0,4,0,0,0,0,0,19,16,3,19,16,3
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,19,14,5,9,2,4,0,1,3,0,0,0,0,19,14,5,19,14,5
106,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,7,1,6,0,5,1,1,0,0,0,0,0,0,7,1,6,7,1,6
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,14,6,8,3,4,2,2,1,2,0,0,0,0,14,6,8,14,6,8
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,26,14,12,11,6,2,2,1,4,0,0,0,0,26,14,12,26,14,12
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,24,20,4,15,2,4,0,1,2,0,0,0,0,24,20,4,24,20,4
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,3,2,1,2,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,2
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,25,17,8,12,4,2,3,3,1,0,0,0,0,25,17,8,25,17,8
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,22,18,4,11,3,6,0,1,1,0,0,0,0,22,18,4,22,18,4
106,公立,一般大學,0003,國立臺灣大學,04134022,公共事務研究所,6,2,4,1,1,1,1,0,2,0,0,0,0,6,2,4,6,2,4
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,35,24,11,14,5,7,4,3,2,0,0,0,0,35,24,11,35,24,11
106,公立,一般大學,0003,國立臺灣大學,04212036,科際整合法律學研究所,7,5,2,5,2,0,0,0,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,29,17,12,8,3,3,2,5,3,1,2,0,2,24,16,8,27,17,10
106,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,9,7,2,5,1,1,0,1,1,0,0,0,0,9,7,2,9,7,2
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,11,10,1,6,1,2,0,2,0,0,0,0,0,11,10,1,11,10,1
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,8,6,2,3,0,3,2,0,0,0,0,0,0,8,6,2,8,6,2
106,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,7,5,2,2,0,2,2,1,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,8,4,4,1,1,2,1,1,2,0,0,0,0,8,4,4,8,4,4
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,20,11,9,6,6,3,1,2,2,0,0,0,0,20,11,9,20,11,9
106,公立,一般大學,0003,國立臺灣大學,05123050,生物化學暨分子生物學研究所,13,10,3,5,1,2,0,3,2,0,0,0,0,13,10,3,13,10,3
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,8,5,3,2,3,1,0,2,0,0,0,0,0,8,5,3,8,5,3
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,33,29,4,21,2,3,1,5,0,0,1,0,0,32,29,3,33,29,4
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,22,18,4,16,2,2,0,0,2,0,0,0,0,22,18,4,22,18,4
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,16,11,5,8,2,2,1,1,2,0,0,0,0,16,11,5,16,11,5
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,30,24,6,13,0,6,4,5,2,0,0,0,0,30,24,6,30,24,6
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,31,30,1,24,1,3,0,3,0,0,0,0,0,31,30,1,31,30,1
106,公立,一般大學,0003,國立臺灣大學,05331055,應用物理學研究所,8,7,1,5,1,1,0,1,0,0,0,0,0,8,7,1,8,7,1
106,公立,一般大學,0003,國立臺灣大學,05332058,天文物理研究所,7,7,0,7,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,24,21,3,13,3,6,0,2,0,0,0,0,0,24,21,3,24,21,3
106,公立,一般大學,0003,國立臺灣大學,05499061,應用數學科學研究所,9,9,0,7,0,1,0,1,0,0,0,0,0,9,9,0,9,9,0
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,15,10,5,7,4,2,0,1,0,0,0,0,1,14,10,4,14,10,4
106,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,8,6,2,5,1,1,0,0,1,0,0,0,0,8,6,2,8,6,2
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,28,24,4,19,2,4,0,1,2,0,0,0,0,28,24,4,28,24,4
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,37,33,4,28,1,3,2,2,1,0,0,0,0,37,33,4,37,33,4
106,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,7,5,2,4,2,0,0,1,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,22,21,1,16,1,3,0,2,0,0,0,0,0,22,21,1,22,21,1
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,11,7,4,4,4,3,0,0,0,0,0,0,0,11,7,4,11,7,4
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,61,57,4,45,3,6,0,6,1,0,0,0,0,61,57,4,61,57,4
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,15,15,0,12,0,2,0,1,0,0,0,0,0,15,15,0,15,15,0
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,19,18,1,14,1,2,0,2,0,0,0,0,0,19,18,1,19,18,1
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,14,14,0,10,0,3,0,1,0,0,0,0,0,14,14,0,14,14,0
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,52,48,4,30,4,11,0,7,0,0,0,0,0,52,48,4,52,48,4
