學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,16,國立陽明大學,521103,生醫光電研究所,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,17,國立臺北大學,220201,中國文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,17,國立臺北大學,220901,歷史學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,17,國立臺北大學,520101,電機工程學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,18,國立嘉義大學,999901,語言中心,2,2,0,0,0,0,0,0,0,0,0,2,0
101,公立,一般大學,19,國立高雄大學,220306,西洋語文學系,2,2,0,0,0,0,0,1,0,1,0,0,0
101,公立,一般大學,19,國立高雄大學,220335,東亞語文學系,4,2,2,0,0,0,0,1,1,0,0,1,1
101,公立,一般大學,19,國立高雄大學,239903,創意設計與建築學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,19,國立高雄大學,440102,應用化學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,19,國立高雄大學,440302,應用物理學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,19,國立高雄大學,460201,統計學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,19,國立高雄大學,810502,運動健康與休閒學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,220901,歷史學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,310310,社會暨公共行政學系,3,2,1,0,0,1,0,0,1,0,0,1,0
101,公立,一般大學,20,國立東華大學,310404,族群關係與文化學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,310518,諮商與臨床心理學系,2,2,0,0,0,0,0,1,0,0,0,1,0
