學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別[日間],專業必修實際開設學分數,專業選修實際開設學分數
105,2,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),45,28
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,學士班(日間),36,21
105,2,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),47,19
105,2,公立,一般大學,0007,國立陽明交通大學,05399044,理學院科學學士學位學程,學士班(日間),12,3
105,2,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),34,3
105,2,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),52,68
105,2,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,學士班(日間),27,13
105,2,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),20,102
105,2,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),43,52
105,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),29,10
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),3,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),10,3
105,2,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),49,22
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),9,9
105,2,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,學士班(日間),56,22
105,2,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),13,15
105,2,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),3,72
105,2,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),32,42
105,2,公立,一般大學,0008,國立中央大學,02322006,中國文學系,學士班(日間),52,52
105,2,公立,一般大學,0008,國立中央大學,03111013,經濟學系,學士班(日間),32,21
105,2,公立,一般大學,0008,國立中央大學,03199020,客家語文暨社會科學學系,學士班(日間),30,18
105,2,公立,一般大學,0008,國立中央大學,04121024,財務金融學系,學士班(日間),42,27
105,2,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,學士班(日間),42,33
105,2,公立,一般大學,0008,國立中央大學,05111031,生命科學系,學士班(日間),30,9
105,2,公立,一般大學,0008,國立中央大學,05311035,化學學系,學士班(日間),43,11
105,2,公立,一般大學,0008,國立中央大學,05321036,地球科學學系,學士班(日間),22,50
105,2,公立,一般大學,0008,國立中央大學,05322044,大氣科學學系,學士班(日間),37,50
105,2,公立,一般大學,0008,國立中央大學,05331042,物理學系,學士班(日間),48,30
105,2,公立,一般大學,0008,國立中央大學,05411051,數學系,學士班(日間),34,66
105,2,公立,一般大學,0008,國立中央大學,06131053,資訊管理學系,學士班(日間),9,36
105,2,公立,一般大學,0008,國立中央大學,06131059,資訊工程學系,學士班(日間),29,9
105,2,公立,一般大學,0008,國立中央大學,07111069,化學工程與材料工程學系,學士班(日間),43,11
105,2,公立,一般大學,0008,國立中央大學,07141055,電機工程學系,學士班(日間),43,66
105,2,公立,一般大學,0008,國立中央大學,07141057,光電科學與工程學系,學士班(日間),26,6
105,2,公立,一般大學,0008,國立中央大學,07141060,通訊工程學系,學士班(日間),24,12
105,2,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,學士班(日間),38,52
105,2,公立,一般大學,0008,國立中央大學,07193074,生醫科學與工程學系,學士班(日間),31,8
105,2,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,學士班(日間),46,36
105,2,公立,一般大學,0009,國立中山大學,02151002,音樂學系,學士班(日間),125,50
105,2,公立,一般大學,0009,國立中山大學,02152003,劇場藝術學系,學士班(日間),24,67
105,2,公立,一般大學,0009,國立中山大學,02311006,外國語文學系,學士班(日間),80,63
105,2,公立,一般大學,0009,國立中山大學,02322005,中國文學系,學士班(日間),40,55
105,2,公立,一般大學,0009,國立中山大學,03141013,社會學系,學士班(日間),24,30
105,2,公立,一般大學,0009,國立中山大學,04121024,財務管理學系,學士班(日間),33,20
105,2,公立,一般大學,0009,國立中山大學,04131021,企業管理學系,學士班(日間),66,41
105,2,公立,一般大學,0009,國立中山大學,04134010,政治經濟學系,學士班(日間),31,50
105,2,公立,一般大學,0009,國立中山大學,05111033,生物科學系,學士班(日間),23,36
105,2,公立,一般大學,0009,國立中山大學,05311037,化學系,學士班(日間),35,21
105,2,公立,一般大學,0009,國立中山大學,05323044,海洋生物科技暨資源學系,學士班(日間),22,48
105,2,公立,一般大學,0009,國立中山大學,05323047,海洋科學系,學士班(日間),21,37
105,2,公立,一般大學,0009,國立中山大學,05331038,物理學系,學士班(日間),34,36
105,2,公立,一般大學,0009,國立中山大學,05411051,應用數學系,學士班(日間),23,27
105,2,公立,一般大學,0009,國立中山大學,06131052,資訊管理學系,學士班(日間),51,10
105,2,公立,一般大學,0009,國立中山大學,07112063,材料與光電科學學系,學士班(日間),39,17
105,2,公立,一般大學,0009,國立中山大學,07122065,海洋環境及工程學系,學士班(日間),32,31
105,2,公立,一般大學,0009,國立中山大學,07141053,電機工程學系,學士班(日間),64,43
105,2,公立,一般大學,0009,國立中山大學,07141054,光電工程學系,學士班(日間),32,27
105,2,公立,一般大學,0009,國立中山大學,07141055,資訊工程學系,學士班(日間),29,30
105,2,公立,一般大學,0009,國立中山大學,07151061,機械與機電工程學系,學士班(日間),65,50
105,2,公立,一般大學,0012,國立臺灣海洋大學,02122005,海洋文創設計產業學士學位學程,學士班(日間),10,8
105,2,公立,一般大學,0012,國立臺灣海洋大學,04199055,海洋觀光管理學士學位學程,學士班(日間),27,30
