學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),20,11,9,10.75
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),13,10,3,29.55
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,博士班,1,0,1,3.13
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),54,10,44,9.93
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),5,0,5,8.93
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),11,1,10,4.14
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),4,2,2,9.76
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),9,5,4,20.93
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),4,1,3,10.53
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),93,33,60,27.68
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),31,5,26,37.35
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,10,5,5,19.23
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),4,3,1,11.11
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,博士班,4,3,1,28.57
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),23,8,15,3.90
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,碩士班(日間),5,2,3,4.03
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),58,30,28,7.71
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),22,14,8,15.28
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,11,8,3,24.44
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),28,9,19,9.66
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),13,3,10,10.57
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,2,1,1,4.88
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),16,11,5,7.84
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),7,4,3,14.00
