學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,一般大學,0009,國立中山大學,9個月,13,51,37,34,23,8,1,7,3,4,2,3
109,公立,一般大學,0009,國立中山大學,10個月,13,80,64,42,24,7,1,7,4,0,3,0
109,公立,一般大學,0009,國立中山大學,11個月,26,90,103,68,48,36,0,9,10,8,5,1
109,公立,一般大學,0012,國立臺灣海洋大學,12個月,10,45,5,10,3,5,2,6,7,9,16,0
109,公立,一般大學,0012,國立臺灣海洋大學,1個月,2,10,5,5,1,2,484,150,40,20,28,2
109,公立,一般大學,0012,國立臺灣海洋大學,2個月,5,33,11,14,5,6,116,82,30,11,13,2
109,公立,一般大學,0012,國立臺灣海洋大學,3個月,4,15,14,15,1,1,114,106,65,16,14,0
109,公立,一般大學,0012,國立臺灣海洋大學,4個月,5,87,5,16,0,0,97,107,45,28,9,0
109,公立,一般大學,0012,國立臺灣海洋大學,5個月,11,76,6,20,3,0,51,59,30,9,10,0
109,公立,一般大學,0012,國立臺灣海洋大學,6個月,17,112,10,25,4,0,26,73,40,11,6,0
109,公立,一般大學,0012,國立臺灣海洋大學,7個月,13,78,10,10,1,0,21,132,36,16,8,0
109,公立,一般大學,0012,國立臺灣海洋大學,8個月,5,50,5,5,2,0,35,99,46,14,14,0
109,公立,一般大學,0012,國立臺灣海洋大學,9個月,0,17,9,9,4,0,29,52,34,8,6,0
109,公立,一般大學,0012,國立臺灣海洋大學,10個月,4,16,17,17,2,5,10,43,30,9,13,0
109,公立,一般大學,0012,國立臺灣海洋大學,11個月,15,11,11,11,3,3,8,22,17,14,7,0
109,公立,一般大學,0013,國立中正大學,12個月,123,275,185,88,97,28,0,18,18,18,16,3
109,公立,一般大學,0013,國立中正大學,1個月,504,159,41,28,24,12,250,116,57,33,48,3
109,公立,一般大學,0013,國立中正大學,2個月,232,83,40,13,12,1,113,67,41,17,21,1
109,公立,一般大學,0013,國立中正大學,3個月,117,107,27,18,11,5,60,91,44,34,28,4
109,公立,一般大學,0013,國立中正大學,4個月,106,86,40,21,13,0,86,72,55,16,13,1
109,公立,一般大學,0013,國立中正大學,5個月,79,92,41,29,10,0,29,61,37,12,10,1
109,公立,一般大學,0013,國立中正大學,6個月,42,89,36,14,7,3,20,40,27,13,4,1
109,公立,一般大學,0013,國立中正大學,7個月,55,55,39,9,10,1,23,59,26,18,6,1
109,公立,一般大學,0013,國立中正大學,8個月,40,39,26,13,7,1,23,65,22,3,2,1
109,公立,一般大學,0013,國立中正大學,9個月,42,48,23,13,6,2,10,46,23,6,4,0
109,公立,一般大學,0013,國立中正大學,10個月,25,67,47,18,8,1,13,57,25,9,3,1
109,公立,一般大學,0013,國立中正大學,11個月,55,115,67,36,31,1,5,26,22,7,5,0
109,公立,一般大學,0014,國立高雄師範大學,12個月,1,24,13,11,8,0,0,4,4,1,0,2
109,公立,一般大學,0014,國立高雄師範大學,1個月,40,30,5,3,0,0,314,265,57,15,36,10
109,公立,一般大學,0014,國立高雄師範大學,2個月,6,17,22,4,2,0,57,99,28,11,10,4
109,公立,一般大學,0014,國立高雄師範大學,3個月,21,12,4,1,1,0,50,68,53,5,7,7
109,公立,一般大學,0014,國立高雄師範大學,4個月,14,14,2,0,0,0,34,53,15,4,14,5
109,公立,一般大學,0014,國立高雄師範大學,5個月,4,8,3,2,0,0,59,54,17,8,2,4
109,公立,一般大學,0014,國立高雄師範大學,6個月,6,17,9,3,2,0,39,22,8,3,0,1
109,公立,一般大學,0014,國立高雄師範大學,7個月,2,9,5,2,2,0,16,10,15,3,1,2
109,公立,一般大學,0014,國立高雄師範大學,8個月,8,21,2,1,0,0,11,14,6,4,1,3
109,公立,一般大學,0014,國立高雄師範大學,9個月,1,2,2,1,0,0,1,9,3,2,4,8
109,公立,一般大學,0014,國立高雄師範大學,10個月,3,11,6,2,1,0,1,4,3,2,3,1
109,公立,一般大學,0014,國立高雄師範大學,11個月,2,6,8,1,2,0,0,3,1,3,1,1
109,公立,一般大學,0015,國立彰化師範大學,12個月,22,56,29,13,8,5,2,11,5,5,8,8
109,公立,一般大學,0015,國立彰化師範大學,1個月,19,16,6,9,0,1,4,9,18,8,32,4
109,公立,一般大學,0015,國立彰化師範大學,2個月,7,17,4,4,1,1,20,8,2,0,5,2
109,公立,一般大學,0015,國立彰化師範大學,3個月,5,7,3,2,0,0,22,13,0,1,3,2
109,公立,一般大學,0015,國立彰化師範大學,4個月,12,26,7,3,2,0,79,16,3,1,3,2
109,公立,一般大學,0015,國立彰化師範大學,5個月,14,21,6,3,2,2,33,15,4,2,3,3
109,公立,一般大學,0015,國立彰化師範大學,6個月,5,17,6,2,0,0,1,6,2,1,3,0
109,公立,一般大學,0015,國立彰化師範大學,7個月,3,21,8,3,0,1,5,4,2,1,1,1
109,公立,一般大學,0015,國立彰化師範大學,8個月,6,5,3,0,1,0,1,1,1,3,1,0
109,公立,一般大學,0015,國立彰化師範大學,9個月,6,17,4,1,0,0,9,4,1,1,1,0
109,公立,一般大學,0015,國立彰化師範大學,10個月,16,34,19,11,2,0,49,48,1,1,1,0
109,公立,一般大學,0015,國立彰化師範大學,11個月,10,38,24,9,8,1,2,4,9,0,8,0
109,公立,一般大學,0017,國立臺北大學,12個月,16,16,20,8,6,2,4,32,42,16,4,2
109,公立,一般大學,0017,國立臺北大學,1個月,7,17,12,11,1,1,289,88,26,16,20,1
109,公立,一般大學,0017,國立臺北大學,2個月,0,32,8,10,1,0,76,50,35,27,9,0
109,公立,一般大學,0017,國立臺北大學,3個月,4,28,13,12,0,0,33,52,25,35,8,0
109,公立,一般大學,0017,國立臺北大學,4個月,6,18,13,8,2,1,29,85,39,22,9,0
109,公立,一般大學,0017,國立臺北大學,5個月,2,16,10,6,1,1,15,58,37,9,2,0
109,公立,一般大學,0017,國立臺北大學,6個月,1,24,15,10,0,1,12,45,45,5,3,0
109,公立,一般大學,0017,國立臺北大學,7個月,4,5,6,8,0,0,11,31,27,6,5,0
109,公立,一般大學,0017,國立臺北大學,8個月,1,7,7,5,0,0,7,82,37,14,2,0
109,公立,一般大學,0017,國立臺北大學,9個月,0,6,5,9,1,0,8,65,28,12,5,0
109,公立,一般大學,0017,國立臺北大學,10個月,19,19,20,9,0,1,8,63,37,10,4,0
109,公立,一般大學,0017,國立臺北大學,11個月,1,28,28,12,1,0,3,35,47,21,10,0
109,公立,一般大學,0018,國立嘉義大學,12個月,75,121,108,34,15,3,167,122,76,45,123,46
109,公立,一般大學,0018,國立嘉義大學,1個月,18,66,57,18,3,0,97,78,54,52,100,51
109,公立,一般大學,0018,國立嘉義大學,2個月,15,84,42,17,11,1,119,83,83,39,108,55
109,公立,一般大學,0018,國立嘉義大學,3個月,34,133,108,34,56,4,207,91,76,58,143,56
109,公立,一般大學,0018,國立嘉義大學,4個月,46,144,107,47,25,7,268,171,125,89,154,49
109,公立,一般大學,0018,國立嘉義大學,5個月,77,221,140,76,37,18,410,214,173,105,252,86
