,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,101,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,自有,1912,232,1680,0,0,0
,101,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,自有,1109,102,1007,0,0,0
,101,私立,技專校院,1288,高美醫護管理專科學校,高雄市,自有,342,48,294,0,0,0
,101,私立,技專校院,1289,育英醫護管理專科學校,高雄市,自有,232,16,216,0,0,0
,101,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義市,自有,303,48,255,0,0,0
,101,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義縣,自有,724,59,665,0,0,0
,101,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,自有,1016,60,956,0,0,0
,101,私立,技專校院,1292,新生醫護管理專科學校,桃園縣,自有,1450,42,1408,0,0,0
,102,公立,一般大學,1,國立政治大學,臺北市,自有,6696,2421,4275,0,0,0
,102,公立,一般大學,2,國立清華大學,新竹市,自有,6714,4120,2594,0,0,0
,102,公立,一般大學,3,國立臺灣大學,臺北市,自有,8648,5008,3640,0,0,0
,102,公立,一般大學,3,國立臺灣大學,臺北市,BOT,3507,1813,1694,0,0,0
,102,公立,一般大學,4,國立臺灣師範大學,臺北市,自有,4646,1704,2942,0,0,0
,102,公立,一般大學,4,國立臺灣師範大學,新北市,自有,541,270,271,0,0,0
,102,公立,一般大學,5,國立成功大學,臺南市,自有,6535,4082,2453,0,0,0
,102,公立,一般大學,5,國立成功大學,臺南市,BOT,680,360,320,0,0,0
,102,公立,一般大學,6,國立中興大學,臺中市,自有,3338,2062,1276,0,0,0
,102,公立,一般大學,7,國立交通大學,新竹市,自有,7651,5262,2389,0,0,0
,102,公立,一般大學,8,國立中央大學,桃園縣,自有,6664,4155,2509,0,0,0
,102,公立,一般大學,9,國立中山大學,高雄市,自有,4146,2446,1700,0,0,0
,102,公立,一般大學,12,國立臺灣海洋大學,基隆市,自有,2835,1907,928,0,0,0
,102,公立,一般大學,13,國立中正大學,嘉義縣,自有,3735,2029,1706,0,0,0
,102,公立,一般大學,14,國立高雄師範大學,高雄市,自有,3502,1682,1820,0,0,0
,102,公立,一般大學,15,國立彰化師範大學,彰化縣,自有,2556,1098,1458,0,0,0
,102,公立,一般大學,16,國立陽明大學,臺北市,自有,1661,866,795,0,0,0
,102,公立,一般大學,17,國立臺北大學,新北市,自有,1017,354,663,0,0,0
,102,公立,一般大學,17,國立臺北大學,臺北市,自有,601,208,393,0,0,0
,102,公立,一般大學,18,國立嘉義大學,嘉義市,自有,2886,1371,1515,0,0,0
,102,公立,一般大學,18,國立嘉義大學,嘉義縣,自有,1262,400,862,0,0,0
,102,公立,一般大學,19,國立高雄大學,高雄市,自有,1050,584,466,0,0,0
,102,公立,一般大學,20,國立東華大學,花蓮縣,自有,6232,2936,3296,0,0,0
,102,公立,一般大學,21,國立暨南國際大學,南投縣,自有,2900,1414,1486,0,0,0
,102,公立,一般大學,28,國立臺北藝術大學,臺北市,自有,1140,360,780,0,0,0
,102,公立,一般大學,29,國立臺灣藝術大學,新北市,自有,822,196,626,0,0,0
,102,公立,一般大學,30,國立臺東大學,臺東縣,自有,695,377,318,0,0,0
,102,公立,一般大學,30,國立臺東大學,臺東縣,BOT,1217,445,772,0,0,0
,102,公立,一般大學,31,國立宜蘭大學,宜蘭縣,自有,1528,788,740,0,0,0
,102,公立,一般大學,32,國立聯合大學,苗栗縣,自有,2090,1006,1084,0,0,0
,102,公立,一般大學,35,國立臺南藝術大學,臺南市,自有,1325,416,909,0,0,0
,102,公立,一般大學,36,國立臺南大學,臺南市,自有,1449,499,950,0,0,0
,102,公立,一般大學,37,國立臺北教育大學,臺北市,自有,1385,439,946,0,0,0
,102,公立,一般大學,38,國立新竹教育大學,新竹市,自有,1487,392,1095,0,0,0
,102,公立,一般大學,39,國立臺中教育大學,臺中市,自有,2031,625,1406,0,0,0
,102,公立,一般大學,40,國立屏東教育大學,屏東縣,自有,3118,1224,1894,0,0,0
,102,公立,一般大學,44,國立體育大學,桃園縣,自有,1224,634,590,0,0,0
,102,公立,一般大學,48,國立金門大學,金門縣,自有,1193,550,643,0,0,0
,102,公立,一般大學,49,國立臺灣體育運動大學,臺中市,自有,731,440,291,0,0,0
,102,公立,一般大學,49,國立臺灣體育運動大學,嘉義縣,自有,0,0,0,353,160,193
,102,公立,一般大學,3002,臺北市立大學,臺北市,自有,1499,558,941,0,0,0
,102,公立,技專校院,22,國立臺灣科技大學,臺北市,自有,2710,1870,840,0,0,0
,102,公立,技專校院,23,國立雲林科技大學,雲林縣,自有,2718,1352,1366,0,0,0
,102,公立,技專校院,24,國立屏東科技大學,屏東縣,自有,3188,1348,1840,0,0,0
,102,公立,技專校院,25,國立臺北科技大學,臺北市,自有,1581,1185,396,304,250,54
,102,公立,技專校院,26,國立高雄第一科技大學,高雄市,自有,1676,800,876,0,0,0
,102,公立,技專校院,27,國立高雄應用科技大學,高雄市,自有,1464,736,728,0,0,0
,102,公立,技專校院,33,國立虎尾科技大學,雲林縣,自有,1877,1298,579,0,0,0
,102,公立,技專校院,34,國立高雄海洋科技大學,高雄市,自有,1965,1066,899,0,0,0
,102,公立,技專校院,42,國立澎湖科技大學,澎湖縣,自有,650,340,310,0,0,0
,102,公立,技專校院,43,國立勤益科技大學,臺中市,自有,816,408,408,0,0,0
,102,公立,技專校院,46,國立臺北護理健康大學,臺北市,自有,1350,175,1175,0,0,0
,102,公立,技專校院,47,國立高雄餐旅大學,高雄市,自有,1356,405,951,0,0,0
