學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,私立,一般大學,1021,真理大學,https://sso.au.edu.tw/AU/outside.aspx?mainPage=QQBwAHAAbABpAGMAYQB0AGkAbwBuAC8AVABLAEUALwBUAEsARQAyADIALwBUAEsARQAyADIAMQAwAF8AMAAxAC4AYQBzAHAAeAA=,https://purchasing.au.edu.tw/index.php?Lang=zh-tw,https://financial.au.edu.tw/
110,私立,一般大學,1022,大同大學,https://selquery.ttu.edu.tw/Main/ListClass.php,https://info.ttu.edu.tw/p/412-1043-1495.php,https://info.ttu.edu.tw/
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,http://webap.stust.edu.tw/courinfo/,http://gen.stust.edu.tw/,http://ir.stust.edu.tw/ir/publicdata
110,私立,技專校院,1024,崑山科技大學,https://syllabus.ksu.edu.tw/,https://web.ksu.edu.tw/DAGA000/bulletin/,https://information.ksu.edu.tw/
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,http://stweb1.cnu.edu.tw/SC2008,https://info.cnu.edu.tw/index.php/4/assets/millioncase,https://info.cnu.edu.tw/
110,私立,技專校院,1026,樹德科技大學,http://goo.gl/UJFvKX,https://supplier.stu.edu.tw/,http://public.stu.edu.tw/
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,https://edurp.tcu.edu.tw/scaswebadmin/annoclaslist.aspx,http://www.purchase.tcu.edu.tw/,https://finance.tcu.edu.tw/
110,私立,一般大學,1028,臺北醫學大學,https://newacademic.tmu.edu.tw/outside.aspx?mainPage=QQBwAHAAbAB%20pAGMAYQB0AGkAbwBuAC8AVABLAEUALwBUAEsARQA1ADAALwBUAEsAR%20QA1ADAAMQAwAF8ALgBhAHMAcAB4AA==&GUID=,http://tmugasys.tmu.edu.tw:8080/tmu/pay_pro/pay100.jsp,https://www.tmu.edu.tw/Front/FININFO2/fin001/News.aspx?id=2JYV659nypY=
110,私立,一般大學,1029,中山醫學大學,https://student.csmu.edu.tw/Sco/wSco005.aspx?OpenType=0&apcode=wSco005,https://oga.csmu.edu.tw/p/412-1010-54.php?Lang=zh-tw,https://info.csmu.edu.tw/
110,私立,技專校院,1030,龍華科技大學,https://www.lhu.edu.tw/oapx/lhuplan/SchTimetable/Sch_Timetable.htm,https://www.lhu.edu.tw/m/oga/tender.asp,https://www.lhu.edu.tw/charge_info/1-1.htm
110,私立,技專校院,1031,輔英科技大學,http://cos.fy.edu.tw/fywww/new/new_info/cos_info/yco_1000.asp,https://egn.fy.edu.tw/,http://schoolmoney.fy.edu.tw/
110,私立,技專校院,1032,明新學校財團法人明新科技大學,http://sss.must.edu.tw/COSINFO/,http://webc1.must.edu.tw/jtmust050/index.php/2017-01-07-02-14-06,http://webs.must.edu.tw/ocmust008/
110,私立,一般大學,1033,長榮大學,https://eportal.cjcu.edu.tw/Mobile/Syllabus?lang=zh-TW,http://www2.cjcu.edu.tw/general/ga4/purchase.php,https://dweb.cjcu.edu.tw/info/article/3768
110,私立,技專校院,1034,弘光科技大學,https://reg.hk.edu.tw/%E9%96%8B%E8%AA%B2%E8%88%87%E5%B8%AB%E8%B3%87%E8%B3%87%E8%A8%8A/,https://purchase.hk.edu.tw/,https://info.hk.edu.tw/
110,私立,一般大學,1035,中國醫藥大學,https://web1.cmu.edu.tw/courseinfo/,https://cmumoney.cmu.edu.tw/?q=zh-hant/procurement,https://financial.cmu.edu.tw/
110,私立,技專校院,1036,健行學校財團法人健行科技大學,http://cos.uch.edu.tw/course_info/index.html,http://gaoffice.uch.edu.tw/ga20302_6.aspx,http://web.uch.edu.tw/sfi/
110,私立,技專校院,1037,正修學校財團法人正修科技大學,https://academic.csu.edu.tw/wSite/np?ctNode=17053&mp=A03000&idPath=17053_17053,https://general.csu.edu.tw/wSite/lp?ctNode=12157&mp=203&idPath=8295_8295&ctNode=12948&idPath=8290_1,https://li.csu.edu.tw/UIPWeb/wSite/np?ctNode=10968&mp=info&idPath=10937_10968
