學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,學制班別,授課語言,修習全外語院、系所、學位學程之學生人數-本國學生數-小計,修習全外語院、系所、學位學程之學生人數-本國學生數-男,修習全外語院、系所、學位學程之學生人數-本國學生數-女,修習全外語院、系所、學位學程之學生人數-境外學生數-小計,修習全外語院、系所、學位學程之學生人數-境外學生數-男,修習全外語院、系所、學位學程之學生人數-境外學生數-女
107,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,博士班,英語,0,0,0,24,21,3
107,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,碩士班(日間),英語,0,0,0,30,24,6
107,公立,技專校院,0022,國立臺灣科技大學,07141017,電機工程系,博士班,英語,0,0,0,16,15,1
107,公立,技專校院,0022,國立臺灣科技大學,07141017,電機工程系,碩士班(日間),英語,0,0,0,19,15,4
107,公立,技專校院,0022,國立臺灣科技大學,04199013,管理學院MBA,碩士班(日間),英語,0,0,0,51,20,31
107,公立,技專校院,0022,國立臺灣科技大學,01116002,數位學習與教育研究所,博士班,英語,0,0,0,12,7,5
107,公立,技專校院,0022,國立臺灣科技大學,01116002,數位學習與教育研究所,碩士班(日間),英語,0,0,0,6,3,3
107,公立,技專校院,0022,國立臺灣科技大學,07151023,機械工程系,博士班,英語,0,0,0,49,46,3
107,公立,技專校院,0022,國立臺灣科技大學,07151023,機械工程系,碩士班(日間),英語,0,0,0,28,24,4
107,公立,技專校院,0022,國立臺灣科技大學,07151023,機械工程系_新南向精密機械及創新工程技術國際學生產學合作專班,學士班(日間),英語,0,0,0,20,14,6
107,公立,技專校院,0022,國立臺灣科技大學,02311003,應用外語系,碩士班(日間),英語,0,0,0,12,4,8
107,公立,技專校院,0022,國立臺灣科技大學,05399015,應用科技研究所,博士班,英語,0,0,0,45,38,7
107,公立,技專校院,0022,國立臺灣科技大學,05399015,應用科技研究所,碩士班(日間),英語,0,0,0,13,6,7
107,公立,技專校院,0022,國立臺灣科技大學,07321025,營建工程系,博士班,英語,0,0,0,21,18,3
107,公立,技專校院,0022,國立臺灣科技大學,07321025,營建工程系,碩士班(日間),英語,0,0,0,39,31,8
107,公立,技專校院,0022,國立臺灣科技大學,09171034,醫學工程研究所,碩士班(日間),英語,0,0,0,3,3,0
107,公立,技專校院,0023,國立雲林科技大學,04131019,企業管理系_越南河內商業大學進修學制碩士在職專班,碩士在職專班,英語,0,0,0,24,15,9
107,公立,技專校院,0023,國立雲林科技大學,02311004,應用外語系,碩士班(日間),英語,50,10,40,1,1,0
107,公立,技專校院,0023,國立雲林科技大學,02311004,應用外語系,碩士在職專班,英語,22,3,19,0,0,0
107,公立,技專校院,0024,國立屏東科技大學,07321022,土壤與水工程國際碩士學位學程,碩士班(日間),英語,2,1,1,6,3,3
107,公立,技專校院,0024,國立屏東科技大學,07211037,食品科學國際碩士學位學程,碩士班(日間),英語,7,5,2,14,5,9
107,公立,技專校院,0024,國立屏東科技大學,04121007,財務金融國際學士學位學程,學士班(日間),英語,64,17,47,2,0,2
107,公立,技專校院,0024,國立屏東科技大學,05121050,動物用疫苗國際學位專班,博士班,英語,3,0,3,4,0,4
107,公立,技專校院,0024,國立屏東科技大學,05121050,動物用疫苗國際學位專班,碩士班(日間),英語,0,0,0,3,2,1
107,公立,技專校院,0024,國立屏東科技大學,08193036,農企業管理國際碩士學位學程,碩士班(日間),英語,5,1,4,20,4,16
107,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,學士班(日間),英語,102,51,51,36,17,19
107,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,博士班,英語,14,11,3,72,41,31
107,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,碩士班(日間),英語,9,5,4,22,13,9
107,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系_國際熱帶農業科技國際學生產學合作專班,學士班(日間),英語,0,0,0,33,13,20
107,公立,技專校院,0024,國立屏東科技大學,08312068,觀賞魚科技及水生動物健康國際學位專班,博士班,英語,1,1,0,1,1,0
107,公立,技專校院,0024,國立屏東科技大學,08312068,觀賞魚科技及水生動物健康國際學位專班,碩士班(日間),英語,2,2,0,3,1,2
107,公立,技專校院,0025,國立臺北科技大學,07141036,工程學院_能源與光電材料外國學生專班,博士班,英語,0,0,0,39,27,12
107,公立,技專校院,0025,國立臺北科技大學,02112007,互動設計系_互動設計與創新外國學生專班,碩士班(日間),英語,0,0,0,9,3,6
107,公立,技專校院,0025,國立臺北科技大學,07132068,能源與冷凍空調工程系_能源冷凍空調與車輛外國學生專班,碩士班(日間),英語,0,0,0,5,5,0
107,公立,技專校院,0025,國立臺北科技大學,04131072,高階管理碩士雙聯學位學程,碩士在職專班,英語,67,44,23,0,0,0
107,公立,技專校院,0025,國立臺北科技大學,07141036,電資學院_外國學生專班,學士班(日間),英語,0,0,0,8,7,1
107,公立,技專校院,0025,國立臺北科技大學,07141036,電資學院_外國學生專班,博士班,英語,0,0,0,14,13,1
107,公立,技專校院,0025,國立臺北科技大學,07141036,電資學院_外國學生專班,碩士班(日間),英語,0,0,0,28,22,6
107,公立,技專校院,0025,國立臺北科技大學,04199021,管理學院_外國學生專班IMBA專班,碩士班(日間),英語,0,0,0,45,19,26
107,公立,技專校院,0025,國立臺北科技大學,04199021,管理學院_金融科技與創新創業外國學生(IMFI)專班,碩士班(日間),英語,0,0,0,12,8,4
107,公立,技專校院,0025,國立臺北科技大學,07151038,機電學院_機械與自動化碩士外國學生專班,碩士班(日間),英語,0,0,0,10,9,1
107,公立,技專校院,0025,國立臺北科技大學,07151040,機電學院_機電科技博士班外國學生專班,博士班,英語,0,0,0,7,7,0
107,公立,技專校院,0025,國立臺北科技大學,02311002,應用英文系,碩士班(日間),英語,37,15,22,8,5,3
107,公立,一般大學,0028,國立臺北藝術大學,02192026,文創產業國際藝術碩士學位學程,碩士班(日間),英語,5,1,4,23,8,15
107,公立,一般大學,0032,國立聯合大學,07111043,工程科技轉譯醫學國際碩士學位學程,碩士班(日間),英語,1,1,0,0,0,0
107,公立,一般大學,0037,國立臺北教育大學,02192027,當代藝術評論與策展研究全英語碩士學位學程,碩士班(日間),英語,1,1,0,16,5,11
107,公立,一般大學,0037,國立臺北教育大學,01115047,學習與教學國際碩士學位學程,碩士班(日間),英語,0,0,0,8,2,6
107,公立,一般大學,0039,國立臺中教育大學,04131040,管理學院國際經營管理碩士學位學程,碩士班(日間),英語,0,0,0,26,11,15
107,公立,技專校院,0043,國立勤益科技大學,07132026,冷凍空調與能源系_機電能源與環境控制國際學生產學合作專班,學士班(日間),英語,0,0,0,22,19,3
107,公立,一般大學,0044,國立體育大學,10141009,國際運動教練科學碩士學位學程,碩士班(日間),英語,0,0,0,2,2,0
107,公立,技專校院,0046,國立臺北護理健康大學,04133004,健康事業管理系_國際健康科技碩士學程外國學生專班,碩士班(日間),英語,0,0,0,1,1,0
107,公立,技專校院,0046,國立臺北護理健康大學,01121020,國際蒙特梭利碩士專班,碩士班(日間),英語,2,0,2,3,0,3
107,公立,技專校院,0046,國立臺北護理健康大學,09131021,護理助產及婦女健康系護理助產碩士班,碩士班(日間),英語,0,0,0,10,0,10
107,公立,技專校院,0046,國立臺北護理健康大學,09131009,護理系,博士班,英語,0,0,0,8,4,4
107,公立,技專校院,0046,國立臺北護理健康大學,09131009,護理系,碩士班(日間),英語,0,0,0,14,4,10
107,公立,技專校院,0047,國立高雄餐旅大學,10131009,國際廚藝學士學位學程,學士班(日間),英語,67,30,37,36,12,24
107,公立,技專校院,0047,國立高雄餐旅大學,10151016,國際觀光學士學位學程,學士班(日間),英語,105,27,78,35,11,24
107,公立,技專校院,0051,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,碩士班(日間),英語,19,8,11,2,2,0
107,公立,技專校院,0053,國立高雄科技大學,04121040,財務管理系_外國學生專班,碩士班(日間),英語,0,0,0,23,7,16
107,公立,技專校院,0053,國立高雄科技大學,04131031,國際管理碩士學位學程,碩士班(日間),英語,17,4,13,22,8,14
107,私立,一般大學,1001,東海大學,05211056,永續科學與工程學士學位學程,學士班(日間),英語,75,43,32,17,8,9
107,私立,一般大學,1001,東海大學,04131059,國際企業管理碩士學位學程,碩士班(日間),英語,7,1,6,7,4,3
107,私立,一般大學,1001,東海大學,04131021,國際學院國際經營管理學位學程,學士班(日間),英語,146,46,100,50,28,22
107,私立,一般大學,1002,輔仁大學,02122029,品牌與時尚經營管理碩士學位學程,碩士班(日間),英語,7,0,7,15,3,12
107,私立,一般大學,1002,輔仁大學,04131044,國際經營管理碩士學位學程,碩士班(日間),英語,18,5,13,17,12,5
107,私立,一般大學,1004,中原大學,07191041,工業與系統工程學系國際碩士班,碩士班(日間),英語,0,0,0,0,0,0
107,私立,一般大學,1004,中原大學,07111049,化學工程與材料科學國際碩士學位學程,碩士班(日間),英語,0,0,0,2,1,1
107,私立,一般大學,1004,中原大學,07121051,永續環境與能源國際碩士學位學程,碩士班(日間),英語,0,0,0,11,2,9
107,私立,一般大學,1004,中原大學,07193044,生物醫學材料與科技國際碩士學位學程,碩士班(日間),英語,0,0,0,7,2,5
107,私立,一般大學,1004,中原大學,04191017,國際商學碩士學位學程,碩士班(日間),英語,7,2,5,18,10,8
107,私立,一般大學,1004,中原大學,04191017,國際商學學士學位學程,學士班(日間),英語,0,0,0,10,4,6
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系資訊科技與雲端運算國際碩士班,碩士班(日間),英語,0,0,0,0,0,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系國際碩士班,碩士班(日間),英語,0,0,0,2,0,2
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03122059,外交與國際關係學系全英語學士班,學士班(日間),英語,130,31,99,100,36,64
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03121074,全球政治經濟學系全英語學士班,學士班(日間),英語,147,44,103,31,17,14
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03143064,拉丁美洲研究所亞太研究數位學習碩士在職專班,碩士在職專班,西班牙語,0,0,0,8,2,6
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03143065,美洲研究所,博士班,英語,4,3,1,0,0,0
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03143065,美洲研究所亞太研究數位學習碩士在職專班,碩士在職專班,西班牙語,0,0,0,29,16,13
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311079,英美語言文化學系全英語學士班,學士班(日間),英語,159,45,114,12,3,9
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121035,商管學院全球財務管理全英語學士學位學程,學士班(日間),英語,160,61,99,58,28,30
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131045,商管學院經營管理全英語碩士學位學程,碩士班(日間),英語,4,1,3,31,13,18
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131040,國際企業學系,學士班(日間),英語,191,76,115,131,63,68
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,10151005,國際觀光管理學系全英語學士班,學士班(日間),英語,324,89,235,40,11,29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121037,淡江大學暨澳洲昆士蘭理工大學財金全英語雙碩士學位學程,碩士班(日間),英語,17,5,12,5,3,2
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131018,資訊工程學系全英語碩士班,碩士班(日間),英語,4,1,3,3,1,2
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06132022,資訊創新與科技學系,學士班(日間),英語,252,157,95,30,21,9
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03143063,臺灣與亞太研究全英語碩士學位學程,碩士班(日間),英語,1,0,1,11,6,5
107,私立,一般大學,1006,中國文化大學,04191014,全球商務碩士學位學程,碩士班(日間),英語,4,3,1,32,14,18
107,私立,一般大學,1006,中國文化大學,04191014,全球商務學士學位學程,學士班(日間),英語,172,77,95,46,22,24
107,私立,一般大學,1007,逢甲大學,99999094,全校國際生大一不分系學士班,學士班(日間),英語,0,0,0,41,25,16
107,私立,一般大學,1007,逢甲大學,04131034,西班牙薩拉戈薩大學物流供應鏈管理與創新創業雙碩士學位學程,碩士班(日間),英語,3,3,0,0,0,0
107,私立,一般大學,1007,逢甲大學,07141095,美國普渡大學電機資訊雙學士學位學程,學士班(日間),英語,44,33,11,2,2,0
107,私立,一般大學,1007,逢甲大學,04199092,美國聖荷西州立大學商學大數據分析雙學士學位學程,學士班(日間),英語,91,48,43,1,0,1
107,私立,一般大學,1007,逢甲大學,04131021,國際企業管理學士學位學程(英語專班),學士班(日間),英語,49,14,35,29,12,17
107,私立,一般大學,1007,逢甲大學,04131022,國際經營管理碩士學位學程,碩士班(日間),英語,0,0,0,1,0,1
107,私立,一般大學,1007,逢甲大學,04141024,國際經營與貿易學系國際企業管理全英語學士班,學士班(日間),英語,103,29,74,84,33,51
107,私立,一般大學,1007,逢甲大學,04199035,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,學士班(日間),英語,90,46,44,6,4,2
107,私立,一般大學,1008,靜宜大學,04131010,寰宇管理碩士學位學程,碩士班(日間),英語,5,0,5,45,21,24
107,私立,一般大學,1009,長庚大學,05123032,分子醫學全英語碩士學位學程,碩士班(日間),英語,0,0,0,1,0,1
107,私立,一般大學,1009,長庚大學,07141052,奈米工程及設計碩士學位學程,碩士班(日間),英語,0,0,0,6,5,1
107,私立,一般大學,1009,長庚大學,09121034,顯微手術國際碩士學位學程,碩士班(日間),英語,0,0,0,16,11,5
