學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),性別,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素 
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),男,15,8,0,1,1,0,0,...,5
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),女,3,1,0,0,0,0,1,...,1
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),男,4,3,0,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),男,15,8,1,0,0,0,0,...,6
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),女,1,0,0,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),男,9,5,0,0,3,0,1,...,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),女,2,0,1,0,0,0,1,...,0
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),男,8,4,1,0,0,0,0,...,3
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),男,3,1,0,0,0,0,0,...,2
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),男,4,2,0,0,1,0,0,...,1
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),女,2,1,0,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),男,3,3,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),女,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),男,17,11,0,0,5,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),女,18,4,0,5,5,0,3,...,1
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),男,14,11,0,1,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),女,19,14,0,1,2,0,1,...,1
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),男,5,4,0,1,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),女,11,6,0,0,0,0,5,...,0
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),男,13,12,0,0,0,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),女,8,8,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),男,15,10,0,2,0,0,2,...,1
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),女,39,23,0,0,2,0,10,...,4
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),男,10,7,0,1,0,0,2,...,0
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),女,26,14,0,2,5,0,4,...,1
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),男,11,8,0,0,0,0,0,...,3
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),女,19,12,0,2,1,0,3,...,1
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),男,32,14,0,5,3,0,5,...,5
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),女,27,9,0,3,3,0,7,...,5
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),男,31,16,0,3,1,0,4,...,7
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),女,51,25,0,3,2,0,16,...,5
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),男,15,11,0,1,1,0,1,...,1
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),女,13,8,0,0,2,0,2,...,1
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),男,5,4,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),女,10,4,0,2,0,0,1,...,3
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),男,11,8,0,0,3,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),女,4,1,0,1,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),男,5,4,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),女,16,11,0,2,0,0,2,...,1
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),男,9,7,0,0,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),女,18,11,0,2,0,0,3,...,2
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),男,16,8,0,3,1,0,2,...,2
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),女,17,8,0,3,0,0,4,...,2
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),男,13,11,0,0,2,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),女,11,8,0,1,1,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),男,10,6,0,0,1,0,1,...,2
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),女,16,5,0,5,4,0,2,...,0
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),男,12,11,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),女,26,21,0,0,0,0,2,...,3
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),男,12,9,0,0,2,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),女,4,3,0,0,0,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),男,8,5,0,0,2,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),女,4,1,0,0,2,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),男,4,4,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),女,5,3,0,0,1,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),男,10,8,0,0,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),女,2,1,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),男,10,9,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),男,9,4,0,1,3,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),女,5,3,0,0,2,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),男,19,8,0,2,2,0,1,...,6
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),女,3,2,0,0,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),男,23,20,0,1,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),女,2,2,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),男,13,12,0,0,0,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),女,2,2,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),男,33,22,0,1,3,0,1,...,6
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),女,4,3,0,0,0,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),男,25,22,0,1,0,0,1,...,1
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),女,2,2,0,0,0,0,0,...,0
