學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),110,24,0,0,134
106,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系四年制,學士班(日間),110,24,0,0,134
106,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),108,24,0,0,132
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),185,24,0,0,209
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系四年制,學士班(日間),185,24,0,0,209
106,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),100,24,4,0,128
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),64,28,0,36,128
106,公立,一般大學,0004,國立臺灣師範大學,01116079,學習科學學士學位學程,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),74,28,0,26,128
106,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),65,28,0,35,128
106,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),74,28,0,26,128
106,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),63,28,0,37,128
106,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術學士學位學程,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),74,28,0,26,128
106,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),72,28,0,28,128
106,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),70,28,0,30,128
106,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),71,28,0,29,128
106,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),81,28,0,19,128
106,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0004,國立臺灣師範大學,07151068,機電工程學系,學士班(日間),81,28,0,19,128
106,公立,一般大學,0004,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,02221110,歷史學系,學士班(日間),100,28,0,0,128
