學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),進修交流國家(地區)別,進修交流國家(地區)區域別,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,本國學生出國進修交流至少1學期(修讀學分)以上人數男,本國學生出國進修交流至少1學期(修讀學分)以上人數女,本國學生出國進修交流未滿1學期(修讀學分)人數小計,本國學生出國進修交流未滿1學期(修讀學分)人數男,本國學生出國進修交流未滿1學期(修讀學分)人數女
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),列支敦斯登侯國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),瑞典王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),德意志聯邦共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),立陶宛共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),泰國,東協,2,2,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),大陸地區,大陸地區,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),泰國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),大陸地區,大陸地區,4,0,4,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),捷克共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),愛爾蘭共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),西班牙王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),瑞典王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
