,學年度,學校代碼,學校名稱,學雜費收入,%,推廣及產學收入,%,補助收入,%,受贈收入,%,利息收入,%,投資、基金及附屬機構收益,%,其他收入,%,合計,%
,101,1034,弘光科技大學,1044174,66.77,249071,15.93,188270,12.04,2561,0.16,5386,0.34,3493,0.22,70970,4.54,1563925,100
,101,1035,中國醫藥大學,881416,26.48,558867,16.79,314402,9.45,13522,0.41,1451,0.04,1484918,44.61,74184,2.23,3328760,100
,101,1036,健行科技大學,1111479,76.67,122482,8.45,123241,8.5,12707,0.88,15702,1.08,113,0.01,63881,4.41,1449605,100
,101,1037,正修科技大學,1381714,64.59,413269,19.32,260690,12.19,6044,0.28,6884,0.32,-,-,70489,3.3,2139091,100
,101,1038,萬能科技大學,817623,73.97,117026,10.59,117168,10.6,4124,0.37,5085,0.46,-,-,44294,4.01,1105320,100
,101,1039,玄奘大學,454144,69.26,60232,9.19,79162,12.07,4658,0.71,6350,0.97,780,0.12,50368,7.68,655693,100
,101,1040,建國科技大學,872364,77.12,83474,7.38,112099,9.91,4124,0.36,1932,0.17,-,-,57140,5.05,1131133,100
,101,1041,明志科技大學,373105,21.38,123873,7.1,178043,10.2,634242,36.34,24484,1.4,349819,20.05,61603,3.53,1745169,100
,101,1042,高苑科技大學,641021,69.97,73638,8.04,132551,14.47,2368,0.26,5544,0.61,422,0.05,60629,6.62,916173,100
,101,1043,大仁科技大學,744558,78.32,73822,7.77,74961,7.88,5118,0.54,3173,0.33,82,0.01,48977,5.15,950692,100
,101,1044,聖約翰科技大學,672834,74.92,47892,5.33,122854,13.68,11048,1.23,13828,1.54,-,-,29646,3.3,898102,100
,101,1045,嶺東科技大學,874914,79.11,54634,4.94,109622,9.91,4171,0.38,17944,1.62,-,-,44721,4.04,1106005,100
,101,1046,中國科技大學,1002167,75.57,125824,9.49,136640,10.3,2471,0.19,4033,0.3,926,0.07,54095,4.08,1326156,100
,101,1047,中臺科技大學,814531,74.44,87114,7.96,139904,12.79,157,0.01,2105,0.19,-,-,50464,4.61,1094275,100
,101,1048,亞洲大學,1151238,67.75,186104,10.95,192018,11.3,8272,0.49,8035,0.47,-,-,153585,9.04,1699252,100
,101,1049,開南大學,866333,76.68,91833,8.13,76978,6.81,12031,1.06,2819,0.25,-,-,79855,7.07,1129850,100
,101,1050,佛光大學,197251,26.79,42926,5.83,109125,14.82,349888,47.52,468,0.06,2448,0.33,34225,4.65,736331,100
,101,1051,台南應用科技大學,1187048,83.19,74811,5.24,104508,7.32,2516,0.18,9309,0.65,619,0.04,48119,3.37,1426930,100
,101,1052,遠東科技大學,889552,75.91,90499,7.72,142303,12.14,3139,0.27,1981,0.17,50,0,44282,3.78,1171805,100
,101,1053,元培醫事科技大學,719184,77.19,69016,7.41,94298,10.12,1630,0.17,5152,0.55,27,0,42434,4.55,931741,100
,101,1054,景文科技大學,664792,74.23,78193,8.73,107882,12.05,492,0.05,4920,0.55,205,0.02,39100,4.37,895585,100
,101,1055,中華醫事科技大學,754559,77.17,63115,6.45,88275,9.03,1054,0.11,1750,0.18,560,0.06,68467,7,977780,100
,101,1056,東南科技大學,666090,81.29,56571,6.9,64522,7.87,2420,0.3,5155,0.63,1468,0.18,23172,2.83,819398,100
,101,1057,德明財經科技大學,699100,71.24,78914,8.04,136910,13.95,1514,0.15,15916,1.62,23471,2.39,25490,2.6,981314,100
,101,1058,明道大學,478723,59.32,156608,19.41,88205,10.93,4746,0.59,1322,0.16,723,0.09,76646,9.5,806974,100
,101,1059,康寧大學,143344,57.62,11025,4.43,52355,21.05,25227,10.14,973,0.39,-,-,15845,6.37,248769,100
,101,1060,南開科技大學,562671,75.52,31220,4.19,110343,14.81,5927,0.8,5338,0.72,8,0,29593,3.97,745099,100
,101,1061,中華科技大學,780991,80.56,64033,6.61,89077,9.19,116,0.01,738,0.08,-,-,34462,3.55,969416,100
,101,1062,僑光科技大學,765078,82.08,47297,5.07,74540,8,6868,0.74,9116,0.98,-,-,29234,3.14,932133,100
,101,1063,育達科技大學,568416,71.21,77953,9.77,105095,13.17,2804,0.35,8090,1.01,716,0.09,35114,4.4,798188,100
,101,1064,美和科技大學,651622,73.1,122254,13.71,81866,9.18,6164,0.69,1241,0.14,1540,0.17,26713,3,891401,100
,101,1065,吳鳳科技大學,543242,76.6,48460,6.83,74501,10.5,2329,0.33,1648,0.23,-,-,39055,5.51,709234,100
,101,1066,環球科技大學,553003,71.81,40869,5.31,119838,15.56,2592,0.34,546,0.07,379,0.05,52871,6.87,770097,100
,101,1067,台灣首府大學,393995,71.44,17915,3.25,62223,11.28,1432,0.26,1647,0.3,30782,5.58,43527,7.89,551522,100
,101,1068,中州科技大學,476556,68.14,100781,14.41,83892,12,4185,0.6,2000,0.29,-,-,31937,4.57,699351,100
,101,1069,修平科技大學,644311,79.02,36042,4.42,92328,11.32,11450,1.4,1497,0.18,25,0,29704,3.64,815357,100
,101,1070,長庚科技大學,538509,34.83,113788,7.36,129857,8.4,315509,20.41,17084,1.1,318411,20.59,112985,7.31,1546144,100
