,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,4,國立臺灣師範大學,140215,人類發展與家庭學系學士班,學士班(日間),7,27,34
,101,公立,一般大學,4,國立臺灣師範大學,140222,社會教育學系學士班,學士班(日間),4,4,8
,101,公立,一般大學,4,國立臺灣師範大學,140301,工業教育學系學士班,學士班(日間),18,3,21
,101,公立,一般大學,4,國立臺灣師範大學,140315,體育學系學士班,學士班(日間),10,3,13
,101,公立,一般大學,4,國立臺灣師範大學,140325,健康促進與衛生教育學系學士班,學士班(日間),2,2,4
,101,公立,一般大學,4,國立臺灣師範大學,140601,特殊教育學士班,學士班(日間),1,3,4
,101,公立,一般大學,4,國立臺灣師範大學,149909,科技應用與人力資源發展學系學士班,學士班(日間),7,1,8
,101,公立,一般大學,4,國立臺灣師範大學,210101,美術學系學士班,學士班(日間),4,9,13
,101,公立,一般大學,4,國立臺灣師範大學,210401,音樂學系學士班,學士班(日間),5,6,11
,101,公立,一般大學,4,國立臺灣師範大學,220201,國文學系學士班,學士班(日間),11,37,48
,101,公立,一般大學,4,國立臺灣師範大學,220204,應用華語文學系學士班,學士班(日間),1,6,7
,101,公立,一般大學,4,國立臺灣師範大學,220308,英語學系學士班,學士班(日間),7,15,22
,101,公立,一般大學,4,國立臺灣師範大學,220901,歷史學系學士班,學士班(日間),11,5,16
,101,公立,一般大學,4,國立臺灣師範大學,310601,地理學系學士班,學士班(日間),6,4,10
,101,公立,一般大學,4,國立臺灣師範大學,310702,東亞學系學士班,學士班(日間),2,6,8
,101,公立,一般大學,4,國立臺灣師範大學,320702,圖文傳播學系學士班,學士班(日間),4,3,7
,101,公立,一般大學,4,國立臺灣師範大學,420103,生命科學系學士班,學士班(日間),2,6,8
,101,公立,一般大學,4,國立臺灣師範大學,440101,化學系學士班,學士班(日間),7,3,10
,101,公立,一般大學,4,國立臺灣師範大學,440201,地球科學系學士班,學士班(日間),4,4,8
,101,公立,一般大學,4,國立臺灣師範大學,440301,物理學系學士班,學士班(日間),19,0,19
,101,公立,一般大學,4,國立臺灣師範大學,460101,數學系學士班,學士班(日間),35,6,41
