學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,公立,技專校院,0043,國立勤益科技大學,學士班(進修),737,585,152,...,...,...,...,...,...
105,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),260,214,46,...,...,...,...,...,...
105,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,65,46,19,...,...,...,...,...,...
105,公立,一般大學,0044,國立體育大學,學士班(日間),332,194,138,...,...,...,...,...,...
105,公立,一般大學,0044,國立體育大學,學士班(進修),36,21,15,...,...,...,...,...,...
105,公立,一般大學,0044,國立體育大學,碩士班(日間),102,50,52,...,...,...,...,...,...
105,公立,一般大學,0044,國立體育大學,碩士在職專班,52,22,30,...,...,...,...,...,...
105,公立,一般大學,0044,國立體育大學,博士班,21,16,5,...,...,...,...,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),874,134,740,...,...,...,...,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),225,6,219,...,...,...,...,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),161,17,144,...,...,...,...,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,31,6,25,...,...,...,...,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,博士班,8,0,8,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,二專(進修),128,39,89,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,五專,24,11,13,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),806,203,603,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),400,104,296,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),85,27,58,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,碩士在職專班,30,12,18,...,...,...,...,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,博士班,1,1,0,...,...,...,...,...,...
105,公立,一般大學,0048,國立金門大學,學士班(日間),667,276,391,...,...,...,...,...,...
105,公立,一般大學,0048,國立金門大學,學士班(進修),144,75,69,...,...,...,...,...,...
105,公立,一般大學,0048,國立金門大學,碩士班(日間),41,25,16,...,...,...,...,...,...
105,公立,一般大學,0048,國立金門大學,碩士在職專班,13,13,0,...,...,...,...,...,...
105,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),429,226,203,...,...,...,...,...,...
105,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),67,49,18,...,...,...,...,...,...
105,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),72,34,38,...,...,...,...,...,...
105,公立,一般大學,0049,國立臺灣體育運動大學,碩士在職專班,28,19,9,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,二專(日間),3,0,3,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,二專(進修),70,8,62,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,五專,688,129,559,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,學士班(日間),1796,410,1386,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,學士班(進修),568,158,410,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),148,57,91,...,...,...,...,...,...
105,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,64,27,37,...,...,...,...,...,...
105,公立,技專校院,0051,國立臺北商業大學,二專(進修),24,14,10,...,...,...,...,...,...
105,公立,技專校院,0051,國立臺北商業大學,五專,324,68,256,...,...,...,...,...,...
105,公立,技專校院,0051,國立臺北商業大學,學士班(日間),857,183,674,...,...,...,...,...,...
