99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
1027,慈濟大學,一般,私立,99,102,碩士,在職專班,1027,慈濟大學,一般,私立,99,103,博士,35歲以上,1028,臺北醫學大學,一般,私立,100,103,博士,未滿35歲
1028,臺北醫學大學,一般,私立,99,102,博士,未滿35歲,1027,慈濟大學,一般,私立,99,103,碩士,在職專班,1028,臺北醫學大學,一般,私立,100,103,博士,35歲以上
1028,臺北醫學大學,一般,私立,99,102,博士,35歲以上,1028,臺北醫學大學,一般,私立,99,103,博士,未滿35歲,1029,中山醫學大學,一般,私立,100,103,博士,未滿35歲
1029,中山醫學大學,一般,私立,99,102,博士,未滿35歲,1028,臺北醫學大學,一般,私立,99,103,博士,35歲以上,1029,中山醫學大學,一般,私立,100,103,博士,35歲以上
1029,中山醫學大學,一般,私立,99,102,博士,35歲以上,1029,中山醫學大學,一般,私立,99,103,博士,未滿35歲,1029,中山醫學大學,一般,私立,100,103,碩士,在職專班
1029,中山醫學大學,一般,私立,99,102,碩士,在職專班,1029,中山醫學大學,一般,私立,99,103,博士,35歲以上,1029,中山醫學大學,一般,私立,100,103,學士,進修學制
1030,龍華科技大學,技職,私立,99,102,碩士,在職專班,1029,中山醫學大學,一般,私立,99,103,碩士,在職專班,1030,龍華科技大學,技職,私立,100,103,碩士,在職專班
1031,輔英科技大學,技職,私立,99,102,碩士,日間學制,1030,龍華科技大學,技職,私立,99,103,碩士,在職專班,1030,龍華科技大學,技職,私立,100,103,專科,日間學制
1032,明新科技大學,技職,私立,99,102,專科,進修學制,1031,輔英科技大學,技職,私立,99,103,碩士,日間學制,1031,輔英科技大學,技職,私立,100,103,碩士,日間學制
1033,長榮大學,一般,私立,99,102,博士,35歲以上,1032,明新科技大學,技職,私立,99,103,專科,進修學制,1032,明新科技大學,技職,私立,100,103,專科,進修學制
